run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds,generation_number,fitness_value_1,fitness_value_2,fitness_value_3,fitness_value_4,fitness_value_5,fitness_value_6,fitness_value_7,fitness_value_8,fitness_value_9,fitness_value_10,fitness_value_11,fitness_value_12,fitness_value_13,fitness_value_14,fitness_value_15,fitness_value_16,fitness_value_17,fitness_value_18,fitness_value_19,fitness_value_20,fitness_value_21,fitness_value_22,fitness_value_23,fitness_value_24,fitness_value_25,fitness_value_26,fitness_value_27,fitness_value_28,fitness_value_29,fitness_value_30,fitness_value_31,fitness_value_32,fitness_value_33,fitness_value_34,fitness_value_35,fitness_value_36,fitness_value_37,fitness_value_38,fitness_value_39,fitness_value_40,fitness_value_41,fitness_value_42,fitness_value_43,fitness_value_44,fitness_value_45,fitness_value_46,fitness_value_47,fitness_value_48,fitness_value_49,fitness_value_50,fitness_value_51,fitness_value_52,fitness_value_53,fitness_value_54,fitness_value_55,fitness_value_56,fitness_value_57,fitness_value_58,fitness_value_59,fitness_value_60,fitness_value_61,fitness_value_62,fitness_value_63,fitness_value_64,fitness_value_65,fitness_value_66,fitness_value_67,fitness_value_68,fitness_value_69,fitness_value_70,fitness_value_71,fitness_value_72,fitness_value_73,fitness_value_74,fitness_value_75,fitness_value_76,fitness_value_77,fitness_value_78,fitness_value_79,fitness_value_80,fitness_value_81,fitness_value_82,fitness_value_83,fitness_value_84,fitness_value_85,fitness_value_86,fitness_value_87,fitness_value_88,fitness_value_89,fitness_value_90,fitness_value_91,fitness_value_92,fitness_value_93,fitness_value_94,fitness_value_95,fitness_value_96,fitness_value_97,fitness_value_98,fitness_value_99,fitness_value_100,fitness_value_101,fitness_value_102,fitness_value_103,fitness_value_104,fitness_value_105,fitness_value_106,fitness_value_107,fitness_value_108,fitness_value_109,fitness_value_110,fitness_value_111,fitness_value_112,fitness_value_113,fitness_value_114,fitness_value_115,fitness_value_116,fitness_value_117,fitness_value_118,fitness_value_119,fitness_value_120,fitness_value_121,fitness_value_122,fitness_value_123,fitness_value_124,fitness_value_125,fitness_value_126,fitness_value_127,fitness_value_128,fitness_value_129,fitness_value_130,fitness_value_131,fitness_value_132,fitness_value_133,fitness_value_134,fitness_value_135,fitness_value_136,fitness_value_137,fitness_value_138,fitness_value_139,fitness_value_140,fitness_value_141,fitness_value_142,fitness_value_143,fitness_value_144,fitness_value_145,fitness_value_146,fitness_value_147,fitness_value_148,fitness_value_149,fitness_value_150,fitness_value_151,fitness_value_152,fitness_value_153,fitness_value_154,fitness_value_155,fitness_value_156,fitness_value_157,fitness_value_158,fitness_value_159,fitness_value_160,fitness_value_161,fitness_value_162,fitness_value_163,fitness_value_164,fitness_value_165,fitness_value_166,fitness_value_167,fitness_value_168,fitness_value_169,fitness_value_170,fitness_value_171,fitness_value_172,fitness_value_173,fitness_value_174,fitness_value_175,fitness_value_176,fitness_value_177,fitness_value_178,fitness_value_179,fitness_value_180,fitness_value_181,fitness_value_182,fitness_value_183,fitness_value_184,fitness_value_185,fitness_value_186,fitness_value_187,fitness_value_188,fitness_value_189,fitness_value_190,fitness_value_191,fitness_value_192,fitness_value_193,fitness_value_194,fitness_value_195,fitness_value_196,fitness_value_197,fitness_value_198,fitness_value_199,fitness_value_200
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,177.34,0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00,0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00,0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00,0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00,0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00,0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00,0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00,0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0,15677.0
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00,-1
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,pairwise,122876329.0,186.91,0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0,122876329.0
