0 ['20', '622', '572', '935', '892', '758', '78', '952', '379', '779', '235', '233', '311', '727', '536', '674', '577', '337', '883', '767', '733', '148', '449', '967', '840', '823', '646', '976', '339', '211', '392', '416', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '159', '352', '613', '298', '720', '485', '160', '578', '24', '364', '916', '272', '864', '704', '769', '782', '615', '685', '628', '700', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964']
1 ['20', '622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '311', '727', '536', '674', '577', '337', '883', '767', '733', '148', '449', '967', '840', '823', '646', '976', '339', '211', '392', '416', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '352', '613', '298', '720', '485', '160', '578', '24', '364', '916', '272', '864', '704', '769', '782', '615', '685', '628', '700', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '451', '797']
2 ['20', '622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '311', '727', '536', '674', '577', '337', '883', '767', '733', '148', '449', '967', '840', '823', '646', '976', '339', '211', '392', '416', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '352', '613', '298', '720', '485', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '700', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '451', '797', '665']
3 ['20', '622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '311', '727', '536', '674', '577', '337', '883', '767', '733', '148', '449', '967', '840', '823', '646', '976', '339', '211', '392', '416', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '352', '613', '298', '720', '485', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '700', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836']
4 ['20', '622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '449', '967', '840', '823', '646', '976', '339', '211', '392', '416', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '352', '613', '298', '720', '485', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '700', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744']
5 ['622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '449', '967', '840', '823', '646', '976', '339', '211', '392', '416', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '352', '613', '298', '720', '485', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '700', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744', '664']
6 ['622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '449', '967', '840', '823', '646', '339', '211', '392', '416', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '352', '613', '298', '720', '485', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '700', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744', '664', '821']
7 ['622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '449', '967', '840', '823', '646', '339', '211', '392', '416', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '352', '613', '298', '720', '485', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744', '664', '821', '96']
8 ['622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '449', '967', '840', '823', '646', '339', '211', '392', '416', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '352', '613', '298', '720', '485', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744', '664', '821', '96']
9 ['622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '967', '840', '823', '646', '339', '211', '392', '416', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '352', '613', '298', '720', '485', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744', '664', '821', '96', '501']
10 ['622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '967', '840', '823', '646', '339', '211', '392', '416', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '352', '613', '298', '720', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744', '664', '821', '96', '501', '396']
11 ['622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '967', '840', '823', '646', '339', '211', '392', '416', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '352', '613', '298', '720', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744', '664', '821', '96', '501', '396']
12 ['622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '967', '840', '823', '646', '339', '211', '392', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '352', '613', '720', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744', '664', '821', '96', '501', '396', '416', '253']
13 ['622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '967', '840', '823', '646', '339', '211', '392', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '58', '613', '720', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744', '664', '821', '96', '501', '396', '416', '253', '672']
14 ['622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '967', '840', '823', '646', '339', '211', '392', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '613', '720', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744', '664', '821', '96', '501', '396', '416', '253', '672', '373']
15 ['622', '572', '892', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '967', '840', '823', '646', '339', '211', '392', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '613', '720', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744', '664', '821', '96', '501', '396', '416', '253', '672', '373']
16 ['622', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '967', '840', '823', '646', '339', '211', '392', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '613', '720', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744', '664', '821', '96', '501', '396', '416', '253', '672', '373', '983', '348']
17 ['622', '758', '78', '952', '379', '779', '235', '233', '727', '536', '674', '577', '337', '883', '767', '733', '148', '967', '840', '823', '646', '339', '211', '392', '279', '690', '346', '686', '173', '566', '430', '835', '691', '382', '393', '613', '720', '160', '578', '24', '364', '916', '272', '704', '769', '782', '615', '685', '628', '10', '968', '598', '478', '271', '640', '25', '694', '848', '900', '964', '797', '665', '836', '744', '664', '821', '96', '501', '396', '416', '253', '672', '373', '983', '348']
