0 ['1776', '1343', '673', '1548', '2416', '2450', '2044', '1218', '1323', '860', '565', '633', '2343', '2477', '1346', '2265', '1137', '1469', '1112', '1792', '1003', '427', '438', '349', '1588', '920', '1554', '852', '1856', '1131', '455', '1532', '1603', '2435', '1592', '277', '142', '2264', '1159', '530', '1805', '1316', '1252', '1842', '1249', '1944', '152', '417', '1722', '1420', '1757', '2441', '1808', '800', '1012', '1654', '1913', '671', '1090', '1940', '583', '715', '842', '917', '599', '1476', '2108', '745', '2033', '764', '2256', '1124', '965', '1745', '629', '652', '812', '945', '1081', '637', '1208', '1107', '1635', '831', '1958', '1106', '2282', '234', '114', '1580', '1551', '1643', '122', '1016', '1436', '1391', '184', '924', '1860', '1425']
1 ['1776', '1343', '673', '1548', '2416', '2450', '2044', '1218', '1323', '860', '565', '633', '2343', '2477', '2265', '1137', '1469', '1112', '1792', '1003', '427', '438', '349', '1588', '920', '1554', '852', '1856', '1131', '455', '1532', '1603', '2435', '1592', '277', '142', '2264', '1159', '530', '1805', '1316', '1252', '1842', '1249', '1944', '152', '417', '1722', '1420', '1757', '2441', '1808', '800', '1012', '1654', '1913', '671', '1090', '1940', '583', '715', '842', '917', '599', '1476', '2108', '745', '2033', '764', '2256', '1124', '965', '1745', '629', '652', '812', '945', '1081', '637', '1208', '1107', '1635', '831', '1958', '1106', '2282', '234', '114', '1580', '1551', '1643', '122', '1016', '1436', '1391', '184', '924', '1860', '1425', '1313']
2 ['1776', '1343', '673', '1548', '2416', '2450', '2044', '1218', '1323', '860', '565', '633', '2343', '2477', '2265', '1137', '1469', '1112', '1792', '1003', '427', '438', '349', '1588', '920', '1554', '852', '1856', '1131', '455', '1532', '1603', '2435', '1592', '277', '142', '2264', '1159', '530', '1805', '1316', '1252', '1842', '1249', '1944', '152', '417', '1722', '1420', '1757', '2441', '1808', '800', '1012', '1654', '1913', '671', '1090', '1940', '583', '715', '842', '917', '599', '1476', '2108', '745', '2033', '764', '2256', '1124', '965', '1745', '629', '652', '812', '945', '1081', '637', '1208', '1107', '1635', '831', '1958', '1106', '2282', '234', '114', '1580', '1551', '1643', '122', '1016', '1436', '1391', '184', '924', '1860', '1425', '1313']
3 ['1776', '1343', '673', '1548', '2416', '2450', '2044', '1218', '1323', '860', '565', '633', '2343', '2477', '2265', '1137', '1469', '1112', '1792', '1003', '427', '438', '349', '1588', '920', '1554', '852', '1856', '1131', '455', '1532', '1603', '2435', '1592', '277', '142', '2264', '1159', '530', '1805', '1252', '1842', '1249', '1944', '152', '417', '1722', '1420', '1757', '2441', '1808', '800', '1012', '1654', '1913', '671', '1090', '1940', '583', '715', '842', '917', '599', '1476', '2108', '745', '2033', '764', '1124', '965', '1745', '629', '652', '812', '945', '1081', '637', '1208', '1107', '1635', '831', '1958', '1106', '2282', '234', '114', '1580', '1551', '1643', '122', '1016', '1436', '1391', '184', '924', '1860', '1425', '1313', '2256', '2094']
4 ['1776', '1343', '673', '1548', '2416', '2450', '2044', '1218', '1323', '860', '565', '633', '2343', '2265', '1137', '1469', '1112', '1792', '1003', '427', '438', '349', '1588', '920', '1554', '852', '1856', '1131', '455', '1532', '1603', '2435', '1592', '277', '142', '2264', '1159', '530', '1805', '1252', '1842', '1249', '1944', '152', '417', '1722', '1420', '1757', '2441', '1808', '800', '1012', '1654', '1913', '671', '1090', '1940', '583', '715', '842', '917', '599', '1476', '2108', '745', '2033', '764', '1124', '965', '1745', '629', '652', '812', '945', '1081', '637', '1208', '1107', '1635', '831', '1958', '1106', '2282', '234', '114', '1580', '1551', '1643', '122', '1016', '1436', '1391', '184', '924', '1860', '1425', '1313', '2256', '2094', '858']
5 ['1776', '1343', '673', '1548', '2416', '2450', '2044', '1218', '1323', '860', '565', '633', '2343', '2265', '1137', '1469', '1112', '1792', '1003', '427', '438', '349', '1588', '920', '1554', '852', '1856', '1131', '455', '1532', '1603', '2435', '1592', '277', '142', '2264', '1159', '530', '1805', '1252', '1842', '1249', '1944', '152', '417', '1722', '1420', '1757', '2441', '1808', '800', '1012', '1654', '1913', '671', '1090', '1940', '583', '715', '842', '917', '599', '1476', '2108', '745', '2033', '764', '1124', '965', '1745', '629', '652', '812', '945', '1081', '637', '1208', '1107', '1635', '831', '1958', '1106', '2282', '234', '114', '1580', '1551', '1643', '122', '1016', '1436', '1391', '184', '924', '1860', '1425', '1313', '2256', '2094', '858']
6 ['1776', '1343', '673', '1548', '2416', '2450', '2044', '1218', '1323', '860', '565', '633', '2343', '2265', '1137', '1469', '1112', '1792', '1003', '427', '438', '349', '1588', '920', '1554', '852', '1856', '1131', '455', '1532', '1603', '2435', '1592', '277', '142', '2264', '1159', '530', '1805', '1252', '1842', '1249', '1944', '152', '417', '1722', '1420', '1757', '2441', '1808', '800', '1012', '1654', '1913', '671', '1090', '1940', '583', '715', '842', '917', '599', '1476', '2108', '745', '2033', '764', '1124', '965', '1745', '629', '652', '812', '945', '1081', '637', '1208', '1107', '1635', '831', '1958', '1106', '2282', '234', '114', '1580', '1551', '1643', '122', '1016', '1436', '1391', '184', '924', '1860', '1425', '1313', '2256', '2094', '858']
7 ['1343', '2416', '2450', '2044', '1218', '1323', '860', '565', '633', '2343', '2265', '1137', '1469', '1112', '1792', '1003', '427', '438', '349', '1588', '920', '1554', '852', '1856', '1131', '455', '1532', '1603', '2435', '1592', '277', '142', '2264', '1159', '530', '1805', '1252', '1842', '1249', '1944', '152', '417', '1722', '1420', '1757', '2441', '1808', '800', '1012', '1654', '1913', '671', '1090', '1940', '583', '715', '842', '917', '599', '1476', '2108', '745', '2033', '764', '1124', '965', '1745', '629', '652', '812', '945', '1081', '637', '1208', '1107', '1635', '831', '1958', '1106', '2282', '234', '114', '1580', '1551', '1643', '122', '1016', '1436', '1391', '184', '924', '1860', '1425', '1313', '2256', '2094', '858', '253', '287', '899']
8 ['1343', '2416', '2450', '2044', '1218', '1323', '860', '565', '633', '2343', '2265', '1137', '1469', '1112', '1792', '1003', '427', '438', '349', '1588', '920', '1554', '852', '1856', '1131', '455', '1532', '1603', '2435', '1592', '277', '142', '2264', '1159', '530', '1805', '1252', '1842', '1249', '1944', '152', '417', '1722', '1420', '1757', '2441', '1808', '800', '1012', '1654', '1913', '671', '1090', '1940', '583', '715', '842', '917', '599', '1476', '2108', '745', '2033', '764', '1124', '965', '1745', '629', '652', '812', '945', '1081', '637', '1208', '1107', '1635', '831', '1958', '1106', '2282', '234', '114', '1580', '1551', '1643', '122', '1016', '1391', '184', '924', '1860', '1425', '1313', '2256', '2094', '858', '253', '287', '899', '1431']
9 ['1343', '2450', '2044', '1218', '1323', '860', '565', '633', '2343', '2265', '1137', '1469', '1112', '1792', '1003', '427', '438', '349', '1588', '920', '1554', '852', '1856', '1131', '455', '1532', '1603', '2435', '1592', '277', '142', '2264', '1159', '530', '1805', '1252', '1842', '1249', '1944', '152', '417', '1722', '1420', '1757', '2441', '1808', '800', '1012', '1654', '1913', '671', '1090', '1940', '583', '715', '842', '917', '599', '1476', '2108', '745', '2033', '764', '1124', '965', '1745', '629', '652', '812', '945', '1081', '637', '1208', '1107', '1635', '831', '1958', '1106', '2282', '234', '114', '1580', '1551', '1643', '122', '1016', '1391', '184', '924', '1860', '1425', '1313', '2256', '2094', '858', '253', '287', '899', '1431', '563']
10 ['1343', '2450', '2044', '1218', '1323', '860', '565', '633', '2343', '2265', '1137', '1469', '1112', '1792', '1003', '427', '438', '349', '1588', '920', '1554', '852', '1856', '1131', '455', '1532', '1603', '2435', '1592', '277', '142', '2264', '1159', '530', '1805', '1252', '1842', '1249', '1944', '152', '417', '1722', '1420', '1757', '2441', '1808', '800', '1012', '1654', '1913', '671', '1090', '1940', '583', '715', '842', '917', '599', '1476', '2108', '745', '2033', '764', '1124', '965', '1745', '629', '652', '812', '945', '1081', '637', '1208', '1107', '1635', '831', '1958', '1106', '2282', '234', '114', '1580', '1551', '1643', '122', '1016', '1391', '184', '924', '1860', '1425', '1313', '2256', '2094', '858', '253', '287', '899', '1431', '563']
