0 ['426', '201', '159', '487', '488', '312', '414', '41', '116', '26', '140', '226', '480', '145', '356', '498', '267', '182', '54', '244', '143', '209', '34', '372', '92', '17', '361', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '83', '347', '131', '178', '368', '292', '308', '175', '252', '485', '193', '332', '138']
1 ['426', '201', '159', '487', '488', '312', '414', '41', '26', '140', '226', '480', '145', '356', '498', '267', '182', '54', '244', '143', '209', '34', '372', '92', '17', '361', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '131', '178', '368', '292', '308', '175', '252', '485', '193', '332', '138', '83', '67']
2 ['426', '201', '159', '487', '488', '312', '414', '41', '26', '140', '226', '480', '145', '356', '498', '267', '182', '54', '244', '143', '209', '34', '372', '92', '17', '361', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '131', '178', '292', '308', '175', '252', '485', '193', '332', '138', '83', '67', '429']
3 ['426', '201', '159', '487', '488', '312', '414', '41', '26', '140', '226', '480', '145', '356', '498', '267', '182', '54', '244', '143', '209', '34', '372', '92', '17', '361', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '131', '178', '292', '308', '175', '252', '485', '193', '332', '138', '83', '67', '429']
4 ['426', '201', '159', '487', '488', '414', '41', '26', '140', '226', '480', '145', '356', '498', '267', '182', '54', '244', '143', '209', '34', '372', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '131', '178', '292', '308', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122']
5 ['426', '201', '159', '487', '488', '414', '41', '26', '140', '226', '480', '145', '356', '498', '267', '182', '54', '244', '143', '209', '34', '372', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '178', '292', '308', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122', '317']
6 ['426', '201', '159', '487', '488', '414', '41', '26', '140', '226', '480', '145', '356', '498', '267', '182', '54', '244', '143', '209', '34', '372', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '178', '292', '308', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122', '317']
7 ['426', '201', '159', '487', '488', '414', '41', '26', '140', '226', '480', '145', '356', '498', '267', '182', '54', '244', '143', '209', '34', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '178', '292', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122', '317', '372', '103']
8 ['426', '201', '159', '487', '488', '414', '41', '26', '140', '226', '480', '145', '356', '498', '267', '182', '244', '143', '209', '34', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '178', '292', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122', '317', '372', '103', '384']
9 ['426', '201', '159', '487', '488', '414', '41', '26', '140', '226', '480', '145', '356', '498', '267', '182', '244', '143', '209', '34', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '178', '292', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122', '317', '372', '103', '384']
10 ['426', '201', '159', '487', '488', '414', '41', '26', '140', '226', '480', '145', '356', '498', '267', '182', '244', '143', '209', '34', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '178', '292', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122', '317', '372', '103', '384']
11 ['426', '201', '159', '487', '488', '414', '41', '26', '140', '226', '480', '145', '356', '498', '267', '182', '244', '143', '209', '34', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '178', '292', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122', '317', '372', '103', '384']
12 ['426', '201', '159', '487', '488', '414', '41', '26', '140', '226', '480', '145', '356', '498', '267', '182', '244', '143', '209', '34', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '178', '292', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122', '317', '372', '103', '384']
13 ['426', '201', '159', '487', '488', '414', '41', '26', '140', '226', '480', '145', '356', '498', '267', '182', '244', '143', '209', '34', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '178', '292', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122', '317', '372', '103', '384']
14 ['159', '414', '41', '226', '480', '145', '356', '498', '267', '182', '244', '143', '209', '34', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '178', '292', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122', '317', '372', '103', '384', '362', '323', '48', '412', '204', '236']
15 ['159', '414', '41', '226', '480', '145', '356', '498', '267', '182', '244', '143', '209', '34', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '178', '292', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122', '317', '372', '103', '384', '362', '323', '48', '412', '204', '236']
16 ['159', '414', '41', '145', '356', '498', '267', '182', '244', '143', '209', '34', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '178', '292', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122', '317', '372', '103', '384', '362', '323', '48', '412', '204', '236', '269', '222']
17 ['159', '414', '41', '356', '498', '267', '182', '244', '143', '209', '34', '92', '17', '277', '479', '389', '180', '216', '461', '376', '161', '381', '327', '347', '178', '292', '175', '252', '485', '193', '332', '138', '83', '67', '429', '361', '122', '317', '372', '103', '384', '362', '323', '48', '412', '204', '236', '269', '222', '35']
