0 ['109', '55', '89']
1 ['109', '55', '89']
2 ['109', '55', '89']
3 ['109', '55', '89']
4 ['109', '55', '89']
5 ['109', '55', '89']
6 ['109', '55', '89']
7 ['89', '83', '34']
8 ['83', '34', '2']
9 ['83', '34', '2']
10 ['83', '34', '2']
11 ['83', '34', '2']
12 ['83', '34', '2']
13 ['83', '34', '2']
14 ['83', '34', '2']
15 ['83', '34', '2']
16 ['83', '34', '2']
17 ['83', '34', '2']
18 ['83', '34', '2']
29 ['34', '2', '3']
30 ['34', '2', '3']
31 ['34', '2', '3']
32 ['34', '2', '3']
33 ['34', '2', '3']
34 ['34', '2', '3']
35 ['34', '2', '3']
36 ['34', '2', '3']
37 ['34', '2', '3']
38 ['34', '2', '3']
49 ['34', '2', '98']
50 ['34', '2', '98']
51 ['34', '2', '98']
52 ['34', '2', '98']
53 ['34', '2', '98']
54 ['34', '2', '98']
55 ['34', '2', '98']
56 ['34', '2', '98']
57 ['34', '2', '98']
58 ['34', '2', '98']
69 ['34', '2', '70']
70 ['34', '2', '70']
71 ['34', '2', '70']
72 ['34', '2', '70']
73 ['34', '2', '70']
74 ['34', '2', '70']
75 ['34', '2', '70']
76 ['34', '2', '70']
77 ['34', '2', '70']
78 ['34', '2', '70']
89 ['34', '2', '106']
90 ['34', '2', '106']
91 ['34', '2', '106']
92 ['34', '2', '106']
93 ['34', '2', '106']
94 ['34', '2', '106']
95 ['34', '2', '106']
96 ['34', '2', '0']
97 ['34', '2', '0']
98 ['34', '2', '0']
99 ['34', '2', '0']
100 ['34', '2', '0']
101 ['34', '2', '0']
102 ['34', '2', '0']
103 ['34', '2', '0']
104 ['34', '2', '0']
105 ['34', '2', '0']
106 ['34', '2', '0']
117 ['2', '0', '34']
118 ['2', '0', '34']
119 ['2', '0', '34']
120 ['2', '0', '34']
121 ['2', '0', '34']
122 ['2', '0', '34']
123 ['2', '0', '34']
124 ['2', '0', '34']
125 ['2', '0', '34']
126 ['2', '0', '34']
137 ['2', '0', '34']
138 ['2', '0', '34']
139 ['2', '0', '34']
140 ['2', '0', '34']
141 ['2', '0', '34']
142 ['2', '0', '34']
143 ['2', '0', '34']
144 ['2', '0', '34']
145 ['2', '0', '34']
146 ['2', '0', '34']
157 ['2', '0', '78']
158 ['2', '0', '78']
159 ['2', '0', '78']
160 ['2', '0', '78']
161 ['2', '0', '78']
162 ['2', '0', '78']
163 ['2', '0', '78']
164 ['2', '0', '78']
165 ['2', '0', '78']
166 ['2', '0', '78']
177 ['0', '2', '81']
178 ['0', '2', '81']
179 ['0', '2', '81']
180 ['0', '2', '81']
181 ['0', '2', '81']
182 ['0', '2', '81']
183 ['0', '2', '81']
184 ['0', '2', '81']
185 ['0', '2', '81']
186 ['0', '2', '81']
197 ['0', '2', '9']
198 ['0', '2', '9']
199 ['0', '2', '9']
200 ['0', '2', '9']
201 ['0', '2', '9']
