0 ['851', '573', '163', '902', '24', '360', '119', '150', '336', '1000', '432', '562', '426', '578', '212', '484', '726', '805', '402', '539', '342', '964', '1055', '472', '946', '661', '765', '403', '898', '322', '812', '522', '615', '782', '1044', '860', '445', '623', '800', '695', '1073', '919', '501', '1118', '584', '752', '337', '1082', '470', '335', '61', '925', '10', '568', '1090', '387', '537', '1165', '787', '1131', '462', '1008', '791', '852', '594', '272', '237', '520', '773', '740', '430', '146', '1140', '779', '458', '586', '185', '400', '373', '436', '653', '1079', '269', '355', '1049', '1177', '44', '275', '1160', '916', '368', '728', '235', '942', '890', '884', '238', '952', '446', '763', '989', '371', '616', '708', '1026', '417', '627', '16', '114', '903', '1061', '293', '739', '815', '1023', '1113', '179', '819', '703']
1 ['851', '573', '163', '902', '24', '360', '119', '150', '336', '1000', '432', '562', '426', '578', '212', '484', '726', '805', '539', '342', '964', '1055', '472', '946', '661', '765', '403', '898', '322', '812', '522', '615', '782', '1044', '860', '445', '623', '800', '695', '1073', '919', '501', '1118', '584', '752', '337', '1082', '470', '335', '61', '925', '10', '568', '1090', '387', '537', '1165', '787', '1131', '462', '1008', '791', '852', '594', '272', '237', '520', '773', '740', '430', '146', '1140', '779', '458', '586', '185', '400', '373', '436', '653', '1079', '269', '355', '1049', '1177', '44', '275', '1160', '916', '368', '728', '235', '942', '890', '884', '238', '952', '446', '763', '989', '371', '616', '708', '1026', '417', '627', '16', '114', '903', '1061', '293', '739', '815', '1023', '1113', '179', '819', '703', '11']
2 ['851', '573', '163', '902', '24', '360', '119', '150', '336', '1000', '432', '562', '426', '578', '212', '484', '726', '805', '539', '342', '964', '1055', '472', '946', '661', '765', '403', '898', '322', '812', '522', '615', '782', '1044', '860', '445', '623', '800', '695', '1073', '919', '501', '1118', '584', '752', '337', '1082', '470', '335', '61', '925', '10', '568', '1090', '387', '537', '1165', '787', '1131', '462', '1008', '791', '852', '594', '272', '237', '520', '773', '740', '430', '146', '1140', '779', '458', '586', '185', '400', '373', '436', '653', '1079', '269', '355', '1049', '1177', '44', '275', '1160', '916', '368', '728', '235', '942', '890', '884', '238', '952', '446', '763', '989', '371', '616', '708', '1026', '417', '627', '16', '114', '903', '1061', '293', '739', '815', '1023', '1113', '179', '819', '703', '11']
3 ['851', '573', '163', '902', '24', '360', '119', '150', '336', '1000', '432', '562', '426', '578', '212', '484', '726', '805', '539', '342', '964', '1055', '472', '946', '661', '765', '403', '322', '812', '522', '615', '1044', '860', '445', '623', '800', '695', '1073', '919', '501', '1118', '584', '752', '337', '1082', '470', '335', '61', '925', '10', '568', '1090', '387', '537', '1165', '787', '1131', '462', '1008', '791', '852', '594', '272', '237', '520', '773', '740', '430', '146', '1140', '779', '458', '586', '185', '400', '373', '436', '653', '1079', '269', '355', '1049', '1177', '44', '275', '1160', '916', '368', '728', '235', '942', '890', '884', '238', '952', '446', '763', '989', '371', '616', '708', '1026', '417', '627', '16', '114', '903', '1061', '293', '739', '815', '1023', '1113', '179', '819', '703', '11', '898', '732']
4 ['851', '573', '163', '902', '24', '360', '119', '150', '336', '1000', '432', '562', '426', '578', '212', '484', '726', '805', '539', '342', '964', '1055', '472', '661', '765', '403', '322', '812', '522', '615', '1044', '860', '445', '623', '800', '695', '1073', '919', '501', '1118', '584', '752', '337', '1082', '470', '335', '61', '925', '10', '568', '1090', '387', '537', '1165', '787', '1131', '462', '1008', '791', '852', '594', '272', '237', '520', '773', '740', '430', '146', '1140', '779', '458', '586', '185', '400', '373', '436', '653', '1079', '269', '355', '1049', '1177', '44', '275', '1160', '916', '368', '728', '235', '942', '890', '884', '238', '952', '446', '763', '989', '371', '616', '708', '1026', '417', '627', '16', '114', '903', '1061', '293', '739', '815', '1023', '1113', '179', '819', '703', '11', '898', '732', '292']
5 ['851', '573', '163', '902', '24', '360', '119', '150', '336', '1000', '432', '562', '426', '578', '212', '484', '726', '805', '539', '342', '964', '1055', '472', '661', '765', '403', '322', '812', '522', '615', '1044', '860', '445', '623', '800', '695', '1073', '919', '501', '1118', '584', '337', '1082', '470', '335', '61', '925', '10', '568', '1090', '387', '537', '1165', '787', '1131', '462', '1008', '791', '852', '594', '272', '237', '520', '773', '740', '430', '146', '1140', '779', '458', '586', '185', '400', '373', '436', '653', '1079', '269', '355', '1049', '1177', '44', '275', '1160', '916', '368', '728', '235', '942', '890', '884', '238', '952', '446', '763', '989', '371', '616', '708', '1026', '417', '627', '16', '114', '903', '1061', '293', '739', '815', '1023', '1113', '179', '819', '703', '11', '898', '732', '292', '302']
6 ['851', '573', '163', '902', '24', '360', '119', '150', '336', '1000', '432', '562', '426', '578', '212', '484', '726', '805', '539', '342', '964', '1055', '472', '661', '765', '403', '322', '812', '522', '615', '1044', '860', '445', '623', '800', '695', '1073', '919', '501', '1118', '584', '337', '1082', '470', '335', '61', '925', '10', '568', '1090', '387', '537', '1165', '787', '1131', '462', '1008', '791', '852', '594', '272', '237', '520', '773', '740', '430', '146', '1140', '779', '458', '586', '185', '400', '436', '653', '1079', '269', '355', '1049', '1177', '44', '275', '1160', '916', '368', '728', '235', '942', '890', '884', '238', '952', '446', '763', '989', '371', '616', '708', '1026', '417', '627', '16', '114', '903', '1061', '293', '739', '815', '1023', '1113', '179', '819', '703', '11', '898', '732', '292', '302', '682']
7 ['851', '573', '163', '902', '24', '360', '119', '150', '336', '1000', '432', '562', '426', '578', '212', '484', '726', '805', '539', '342', '964', '1055', '472', '661', '765', '403', '322', '812', '522', '615', '1044', '860', '445', '623', '800', '695', '1073', '919', '501', '1118', '584', '337', '1082', '470', '335', '61', '925', '10', '568', '1090', '387', '537', '1165', '787', '1131', '462', '1008', '791', '852', '594', '272', '237', '520', '773', '740', '430', '146', '1140', '779', '458', '586', '185', '400', '436', '653', '269', '355', '1049', '1177', '44', '275', '1160', '916', '368', '728', '235', '942', '890', '884', '238', '952', '446', '763', '989', '371', '616', '708', '1026', '417', '627', '16', '114', '903', '1061', '293', '739', '815', '1023', '1113', '179', '819', '703', '11', '898', '732', '292', '302', '682', '886']
8 ['851', '573', '163', '902', '24', '360', '119', '150', '336', '1000', '432', '562', '426', '578', '212', '484', '726', '805', '539', '342', '964', '1055', '472', '661', '765', '403', '322', '812', '522', '615', '1044', '860', '445', '623', '800', '695', '1073', '919', '501', '1118', '584', '337', '1082', '470', '335', '61', '925', '10', '568', '1090', '387', '537', '1165', '787', '1131', '462', '1008', '791', '852', '594', '272', '237', '520', '773', '740', '430', '146', '1140', '779', '458', '586', '185', '400', '436', '653', '269', '355', '1049', '1177', '44', '275', '1160', '916', '368', '728', '235', '942', '890', '884', '238', '952', '446', '763', '989', '371', '616', '708', '1026', '417', '627', '16', '114', '903', '1061', '293', '739', '815', '1023', '1113', '179', '819', '703', '11', '898', '732', '292', '302', '682', '886']
9 ['851', '573', '163', '902', '24', '360', '119', '150', '336', '1000', '432', '562', '426', '578', '212', '484', '726', '805', '539', '342', '964', '1055', '472', '661', '765', '403', '322', '812', '522', '615', '1044', '860', '445', '623', '800', '695', '1073', '919', '501', '1118', '584', '337', '1082', '470', '335', '61', '925', '10', '568', '1090', '387', '537', '1165', '787', '1131', '462', '1008', '791', '852', '594', '272', '237', '520', '773', '740', '430', '146', '1140', '779', '458', '586', '185', '400', '436', '653', '269', '355', '1049', '1177', '44', '275', '1160', '368', '728', '235', '942', '890', '884', '238', '952', '446', '763', '989', '371', '616', '708', '1026', '417', '627', '16', '114', '903', '1061', '293', '739', '815', '1113', '179', '819', '703', '11', '898', '732', '292', '302', '682', '886', '566', '453']
10 ['851', '573', '163', '902', '24', '360', '119', '150', '336', '1000', '432', '562', '426', '578', '212', '484', '726', '805', '539', '342', '964', '1055', '472', '661', '765', '403', '322', '812', '522', '615', '1044', '860', '445', '623', '800', '695', '1073', '919', '501', '1118', '584', '337', '1082', '470', '335', '61', '925', '10', '568', '1090', '387', '537', '1165', '787', '1131', '462', '1008', '791', '852', '594', '272', '237', '520', '773', '740', '430', '146', '1140', '779', '458', '586', '185', '400', '436', '653', '269', '355', '1049', '1177', '44', '275', '1160', '368', '728', '235', '942', '890', '884', '238', '952', '446', '763', '989', '371', '616', '708', '1026', '417', '627', '16', '114', '903', '1061', '293', '739', '815', '1113', '179', '819', '703', '11', '898', '732', '292', '302', '682', '886', '453', '1070']
