0 ['197', '170', '208', '137', '33', '152', '18', '82', '309', '307', '179', '299', '268', '189', '172']
1 ['197', '170', '208', '137', '33', '152', '18', '82', '309', '307', '179', '299', '268', '189', '172']
2 ['197', '170', '208', '137', '33', '152', '18', '82', '309', '307', '179', '299', '268', '189', '172']
3 ['197', '170', '208', '137', '33', '152', '18', '82', '309', '307', '179', '299', '268', '189', '172']
4 ['197', '170', '208', '137', '33', '152', '18', '82', '309', '307', '179', '299', '268', '189', '172']
5 ['197', '170', '208', '137', '33', '152', '18', '82', '309', '307', '179', '299', '268', '189', '172']
6 ['197', '170', '208', '137', '33', '152', '18', '82', '309', '307', '179', '299', '268', '189', '172']
7 ['197', '170', '208', '137', '33', '152', '18', '82', '309', '307', '179', '299', '268', '189', '172']
8 ['197', '170', '208', '137', '33', '152', '18', '82', '309', '307', '179', '299', '268', '189', '172']
9 ['197', '170', '208', '137', '33', '152', '18', '82', '309', '307', '179', '299', '268', '189', '172']
10 ['197', '170', '208', '137', '33', '152', '18', '82', '309', '307', '179', '299', '268', '189', '172']
21 ['208', '18', '260', '113', '14', '66', '187', '173', '326', '157', '237', '211', '130', '279', '4']
22 ['208', '18', '260', '113', '14', '66', '187', '173', '326', '157', '237', '211', '130', '279', '4']
23 ['208', '18', '260', '113', '14', '66', '187', '173', '326', '157', '237', '211', '130', '279', '4']
24 ['208', '18', '260', '113', '14', '66', '187', '173', '326', '157', '237', '211', '130', '279', '4']
25 ['208', '18', '260', '113', '14', '66', '187', '173', '326', '157', '237', '211', '130', '279', '4']
26 ['208', '18', '260', '113', '14', '66', '187', '173', '326', '157', '237', '211', '130', '279', '4']
27 ['208', '18', '260', '113', '14', '66', '187', '173', '326', '157', '237', '211', '130', '279', '4']
28 ['208', '18', '326', '157', '237', '130', '279', '4', '171', '104', '273', '172', '46', '299', '239']
29 ['208', '18', '326', '157', '237', '130', '279', '4', '171', '104', '273', '172', '46', '299', '239']
30 ['208', '18', '326', '157', '237', '130', '279', '4', '171', '104', '273', '172', '299', '239', '160']
31 ['208', '18', '326', '157', '237', '130', '279', '4', '171', '104', '273', '172', '299', '239', '160']
32 ['208', '18', '326', '157', '237', '130', '279', '4', '171', '104', '273', '172', '299', '239', '160']
33 ['208', '18', '326', '157', '237', '279', '171', '104', '273', '172', '299', '239', '160', '248', '92']
34 ['208', '18', '326', '157', '237', '279', '104', '273', '172', '299', '239', '160', '248', '92', '238']
35 ['208', '18', '326', '157', '237', '279', '104', '273', '172', '299', '239', '160', '248', '92', '238']
36 ['208', '18', '326', '157', '237', '279', '104', '273', '172', '299', '239', '160', '248', '92', '238']
37 ['208', '18', '326', '157', '237', '279', '104', '273', '172', '299', '239', '160', '248', '92', '238']
38 ['208', '18', '326', '157', '237', '279', '104', '273', '172', '299', '239', '160', '248', '92', '238']
39 ['208', '18', '326', '157', '237', '279', '104', '273', '172', '299', '239', '160', '248', '92', '238']
40 ['208', '18', '326', '157', '237', '279', '104', '273', '172', '299', '239', '160', '248', '92', '238']
41 ['208', '18', '326', '157', '237', '279', '104', '273', '172', '299', '239', '160', '248', '92', '238']
42 ['208', '18', '326', '157', '237', '279', '104', '273', '172', '299', '239', '160', '248', '92', '238']
43 ['208', '18', '326', '157', '237', '279', '104', '273', '172', '299', '239', '160', '248', '92', '238']
44 ['208', '18', '326', '157', '237', '279', '104', '273', '172', '299', '239', '160', '248', '92', '238']
55 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '160', '189', '290', '76', '138', '231']
56 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '160', '189', '290', '76', '138', '231']
57 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '160', '189', '290', '76', '138', '231']
58 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '160', '189', '290', '76', '138', '231']
59 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '160', '189', '290', '76', '138', '231']
60 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '160', '189', '290', '76', '138', '231']
61 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '160', '189', '290', '76', '138', '231']
62 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '160', '189', '290', '76', '138', '231']
63 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '116', '190', '313', '69', '312', '54']
64 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '116', '190', '313', '69', '312', '54']
65 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '313', '69', '312', '54', '169', '24']
66 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '313', '69', '312', '54', '169', '24']
67 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '313', '69', '312', '54', '169', '24']
68 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '313', '69', '312', '54', '169', '24']
69 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '54', '24', '51', '170', '161', '282']
70 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '54', '24', '51', '170', '161', '282']
71 ['208', '18', '326', '157', '237', '279', '239', '92', '238', '54', '24', '161', '282', '8', '175']
