0 ['19', '146', '68', '97', '125', '248', '161', '21', '202', '122', '132', '128', '158', '159', '86', '145', '73', '157', '180', '38', '192', '49', '219', '214', '249', '227', '200', '92', '151', '232', '175', '149', '209', '229', '114', '193', '28', '121', '60', '169', '179', '223', '208', '211', '85', '48', '123', '34', '20', '1']
1 ['19', '146', '68', '97', '125', '248', '161', '21', '202', '122', '132', '128', '158', '86', '145', '73', '180', '38', '192', '49', '219', '214', '249', '227', '200', '92', '151', '232', '175', '149', '209', '229', '114', '193', '28', '121', '60', '169', '179', '223', '208', '211', '85', '48', '123', '34', '20', '1', '123', '241']
2 ['19', '146', '68', '97', '125', '248', '161', '21', '202', '122', '132', '128', '158', '86', '145', '73', '180', '38', '192', '49', '219', '214', '249', '227', '200', '92', '151', '232', '175', '149', '209', '229', '114', '193', '28', '60', '169', '179', '223', '208', '211', '85', '48', '123', '34', '20', '1', '123', '241', '218']
3 ['19', '146', '68', '97', '125', '248', '161', '21', '202', '122', '132', '128', '158', '86', '145', '73', '180', '38', '192', '49', '219', '214', '249', '227', '200', '92', '151', '232', '175', '149', '209', '229', '114', '193', '28', '60', '169', '179', '223', '208', '211', '85', '48', '34', '20', '1', '123', '241', '218', '106']
4 ['19', '146', '68', '97', '125', '248', '161', '21', '202', '122', '128', '158', '86', '145', '73', '180', '38', '192', '49', '219', '214', '249', '227', '200', '92', '151', '232', '175', '149', '209', '229', '114', '193', '28', '60', '169', '179', '223', '208', '211', '85', '48', '34', '20', '1', '123', '241', '218', '106', '148']
5 ['19', '146', '68', '97', '125', '248', '161', '21', '202', '122', '128', '158', '86', '145', '73', '180', '38', '192', '49', '219', '214', '249', '227', '200', '92', '151', '175', '149', '209', '229', '114', '193', '28', '60', '169', '179', '223', '208', '211', '85', '48', '34', '20', '1', '123', '241', '218', '106', '148', '139']
6 ['19', '146', '68', '97', '125', '248', '161', '21', '202', '122', '128', '158', '86', '145', '73', '180', '38', '192', '49', '219', '214', '249', '227', '200', '92', '151', '175', '149', '209', '229', '114', '193', '28', '60', '169', '179', '223', '208', '211', '85', '48', '34', '20', '1', '123', '241', '218', '106', '148', '139']
7 ['19', '146', '68', '97', '125', '248', '161', '202', '122', '128', '158', '86', '145', '73', '180', '38', '192', '49', '219', '249', '227', '200', '92', '151', '175', '149', '209', '229', '114', '193', '28', '60', '169', '179', '223', '208', '211', '85', '48', '34', '20', '1', '123', '241', '218', '106', '148', '139', '21', '197']
8 ['19', '146', '68', '97', '125', '248', '161', '202', '122', '128', '158', '86', '145', '73', '180', '38', '192', '49', '219', '249', '227', '200', '92', '151', '175', '149', '209', '229', '114', '193', '28', '60', '169', '179', '223', '208', '85', '48', '34', '20', '1', '123', '241', '218', '106', '148', '139', '21', '197', '45']
9 ['19', '146', '68', '97', '125', '248', '161', '202', '122', '128', '158', '86', '145', '73', '180', '38', '192', '49', '219', '249', '227', '200', '92', '151', '175', '149', '209', '229', '114', '193', '28', '60', '169', '179', '223', '208', '85', '48', '34', '20', '1', '123', '241', '218', '106', '148', '139', '21', '197', '45']
10 ['19', '146', '68', '97', '125', '248', '161', '202', '122', '128', '158', '86', '145', '73', '180', '38', '192', '49', '219', '249', '227', '200', '92', '151', '175', '149', '209', '229', '114', '193', '28', '60', '169', '179', '223', '208', '85', '48', '34', '20', '1', '123', '218', '106', '148', '139', '21', '197', '45', '222']
