0 ['338', '385', '274', '122', '84', '242', '305', '255', '360', '336', '145', '311', '214', '348', '193', '456', '299', '262', '467', '9', '61', '278', '307', '410', '221', '85', '289', '320', '352', '146', '476', '427', '99', '461', '81', '168', '343', '421', '157', '481', '213', '16', '19', '75', '43', '357', '254', '260', '377', '26', '186', '326', '342', '136', '196', '194', '197', '402', '133', '111', '434', '453', '18', '327', '445', '258', '457', '211', '407', '271', '178', '58', '176', '498', '195', '117', '80', '439', '172', '184', '286', '264', '154', '179', '275', '73', '384', '115', '368', '215', '69', '32', '131', '13', '494', '328', '95', '150', '219', '283', '351', '379', '177', '224', '447', '89', '139', '4', '35', '191']
1 ['338', '385', '274', '122', '84', '242', '305', '255', '360', '336', '145', '311', '214', '348', '193', '456', '299', '262', '467', '9', '61', '278', '307', '410', '85', '289', '320', '352', '146', '476', '427', '99', '461', '81', '168', '343', '421', '157', '481', '213', '16', '19', '75', '43', '357', '254', '260', '377', '26', '186', '326', '342', '136', '196', '194', '197', '402', '133', '111', '434', '453', '18', '327', '445', '258', '457', '211', '407', '271', '178', '58', '176', '498', '195', '117', '80', '439', '172', '184', '286', '264', '154', '179', '275', '73', '384', '115', '368', '215', '69', '32', '131', '13', '494', '328', '95', '150', '219', '283', '351', '379', '177', '224', '447', '89', '139', '4', '35', '191', '206']
2 ['338', '385', '274', '122', '84', '242', '305', '255', '360', '336', '145', '311', '214', '348', '193', '456', '299', '262', '467', '9', '61', '278', '307', '410', '85', '289', '320', '352', '146', '476', '99', '461', '81', '168', '343', '421', '157', '481', '213', '16', '19', '75', '43', '357', '254', '260', '377', '26', '186', '326', '342', '136', '196', '194', '197', '402', '133', '111', '434', '453', '18', '327', '445', '258', '457', '211', '407', '271', '178', '58', '176', '498', '195', '117', '80', '439', '172', '184', '286', '264', '154', '179', '275', '73', '384', '115', '368', '215', '69', '32', '131', '13', '494', '328', '95', '150', '219', '283', '351', '379', '177', '224', '447', '89', '139', '4', '35', '191', '206', '470']
3 ['338', '385', '274', '122', '84', '242', '305', '255', '360', '336', '145', '311', '214', '348', '193', '456', '299', '262', '467', '9', '61', '278', '307', '410', '85', '289', '320', '352', '146', '476', '99', '461', '81', '168', '421', '157', '481', '213', '16', '19', '75', '43', '357', '254', '260', '377', '26', '186', '326', '342', '136', '196', '194', '197', '402', '133', '111', '434', '453', '18', '327', '445', '258', '457', '211', '407', '271', '178', '58', '176', '498', '195', '117', '80', '439', '172', '184', '286', '264', '154', '179', '275', '73', '384', '115', '368', '215', '69', '32', '131', '13', '494', '328', '95', '150', '219', '283', '351', '379', '177', '224', '447', '89', '139', '4', '35', '191', '206', '470', '36']
4 ['338', '385', '274', '122', '84', '242', '305', '255', '360', '336', '145', '311', '214', '348', '193', '456', '299', '262', '467', '9', '61', '278', '307', '410', '85', '289', '320', '352', '146', '476', '99', '461', '81', '168', '421', '157', '481', '213', '16', '19', '75', '43', '357', '254', '260', '377', '26', '186', '326', '342', '136', '196', '194', '197', '402', '133', '111', '434', '453', '18', '327', '445', '258', '457', '211', '407', '271', '178', '58', '176', '498', '195', '117', '80', '439', '172', '184', '286', '264', '154', '179', '275', '73', '384', '115', '368', '215', '69', '32', '131', '13', '494', '328', '95', '150', '219', '283', '351', '379', '177', '224', '447', '89', '139', '4', '35', '191', '206', '470', '36']
5 ['338', '385', '274', '122', '84', '242', '305', '255', '360', '336', '145', '311', '214', '348', '193', '456', '299', '262', '467', '9', '61', '278', '307', '410', '85', '289', '320', '352', '146', '476', '99', '461', '81', '168', '157', '481', '213', '16', '19', '75', '43', '357', '254', '260', '377', '26', '186', '326', '342', '136', '196', '194', '197', '402', '133', '111', '434', '453', '18', '327', '445', '258', '457', '211', '407', '271', '178', '58', '176', '498', '195', '117', '80', '439', '172', '184', '264', '154', '179', '275', '73', '384', '115', '368', '215', '69', '32', '131', '13', '494', '328', '95', '150', '219', '283', '351', '379', '177', '224', '447', '89', '139', '4', '35', '191', '206', '470', '36', '389', '100']
6 ['338', '385', '274', '122', '84', '242', '305', '255', '360', '336', '145', '311', '214', '348', '193', '456', '299', '262', '467', '9', '61', '278', '307', '410', '85', '289', '320', '352', '146', '476', '99', '461', '81', '168', '157', '481', '213', '16', '19', '75', '43', '357', '254', '260', '377', '26', '186', '326', '342', '136', '196', '194', '197', '402', '133', '111', '434', '453', '18', '327', '445', '258', '457', '211', '407', '271', '178', '58', '176', '498', '195', '117', '80', '439', '172', '184', '264', '154', '179', '275', '73', '384', '115', '368', '215', '69', '32', '131', '13', '494', '328', '95', '150', '219', '283', '351', '379', '177', '224', '447', '89', '139', '4', '35', '191', '206', '470', '36', '389', '100']
7 ['338', '385', '274', '122', '84', '242', '305', '255', '360', '336', '145', '311', '214', '348', '193', '456', '299', '262', '467', '9', '61', '278', '307', '410', '85', '289', '320', '352', '146', '476', '99', '461', '81', '168', '157', '481', '213', '16', '19', '75', '43', '357', '254', '260', '377', '26', '186', '326', '342', '136', '196', '194', '197', '402', '133', '111', '434', '453', '18', '327', '445', '258', '457', '211', '407', '271', '178', '58', '176', '498', '195', '117', '80', '439', '172', '184', '264', '154', '179', '73', '384', '115', '368', '215', '69', '32', '131', '13', '494', '95', '150', '219', '283', '351', '379', '177', '224', '447', '89', '139', '4', '35', '191', '206', '470', '36', '389', '100', '470', '17']
8 ['338', '385', '274', '122', '84', '242', '305', '255', '360', '336', '145', '311', '214', '348', '193', '456', '299', '262', '467', '9', '61', '278', '307', '410', '85', '289', '320', '352', '146', '476', '99', '461', '81', '168', '157', '481', '213', '16', '19', '75', '43', '357', '254', '260', '377', '26', '186', '326', '342', '136', '196', '194', '197', '402', '133', '111', '434', '453', '18', '327', '445', '258', '457', '211', '407', '271', '178', '58', '176', '498', '195', '117', '80', '439', '172', '184', '264', '154', '179', '73', '384', '115', '368', '215', '69', '32', '131', '13', '494', '150', '219', '283', '351', '379', '177', '224', '447', '89', '139', '4', '35', '191', '206', '470', '36', '389', '100', '470', '17', '68']
9 ['338', '385', '274', '122', '84', '242', '305', '255', '360', '336', '145', '311', '214', '348', '193', '456', '299', '262', '467', '9', '61', '278', '307', '410', '85', '289', '320', '352', '146', '476', '99', '461', '81', '168', '157', '481', '213', '16', '19', '75', '43', '357', '254', '260', '377', '26', '186', '326', '342', '136', '196', '194', '197', '402', '133', '111', '434', '453', '18', '327', '445', '258', '457', '211', '407', '271', '178', '58', '176', '498', '195', '117', '80', '439', '172', '184', '264', '154', '179', '73', '384', '115', '368', '215', '69', '32', '131', '13', '494', '150', '219', '283', '379', '177', '224', '447', '89', '139', '4', '35', '191', '206', '470', '36', '389', '100', '470', '17', '68', '292']
10 ['338', '385', '274', '122', '84', '242', '305', '255', '360', '336', '145', '311', '214', '348', '193', '456', '299', '262', '467', '9', '61', '278', '307', '410', '85', '289', '320', '352', '146', '476', '99', '461', '81', '168', '157', '481', '213', '16', '19', '75', '43', '357', '254', '260', '377', '26', '186', '326', '342', '136', '196', '194', '197', '402', '133', '111', '434', '453', '18', '327', '445', '258', '457', '211', '407', '271', '178', '58', '176', '498', '195', '117', '80', '439', '172', '184', '264', '154', '179', '73', '384', '115', '368', '215', '69', '32', '131', '13', '494', '150', '219', '283', '379', '177', '224', '447', '89', '139', '4', '35', '191', '206', '470', '36', '389', '100', '470', '17', '68', '292']
