0 ['227', '46', '17', '204', '101', '51', '147', '81', '41', '219', '29', '22', '254', '13', '38', '176', '218', '148', '32', '237', '213', '229', '26', '44', '119', '50']
1 ['227', '46', '17', '204', '101', '51', '147', '81', '41', '219', '29', '22', '254', '13', '38', '176', '218', '148', '32', '237', '213', '229', '26', '44', '119', '62']
2 ['227', '46', '17', '204', '101', '51', '147', '81', '41', '219', '29', '22', '254', '13', '38', '176', '218', '148', '32', '237', '213', '229', '26', '119', '62', '123']
3 ['227', '46', '17', '204', '101', '51', '147', '81', '41', '219', '22', '254', '13', '38', '176', '218', '148', '32', '237', '213', '229', '26', '119', '62', '123', '160']
4 ['227', '46', '17', '204', '101', '51', '147', '81', '219', '22', '254', '13', '38', '176', '218', '148', '32', '237', '213', '229', '26', '119', '62', '123', '160', '226']
5 ['227', '46', '17', '204', '101', '51', '147', '81', '219', '22', '254', '13', '38', '176', '218', '32', '237', '213', '229', '26', '119', '62', '123', '160', '226', '108']
6 ['227', '46', '204', '101', '51', '147', '81', '219', '22', '254', '13', '38', '176', '218', '32', '237', '213', '229', '26', '119', '62', '123', '160', '226', '108', '207']
7 ['227', '46', '204', '101', '51', '147', '81', '219', '22', '254', '13', '38', '176', '218', '32', '237', '213', '229', '26', '119', '62', '123', '160', '226', '108', '207']
8 ['227', '46', '204', '101', '51', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '229', '26', '119', '62', '123', '160', '226', '108', '207', '237', '75']
9 ['227', '46', '101', '51', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '229', '26', '119', '62', '123', '160', '226', '108', '207', '237', '75', '241']
10 ['227', '46', '101', '51', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '229', '26', '119', '62', '123', '160', '226', '108', '207', '237', '75', '241']
11 ['227', '46', '101', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '229', '26', '119', '62', '123', '160', '108', '207', '237', '75', '241', '53', '201']
12 ['227', '46', '101', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '229', '119', '62', '123', '160', '108', '207', '237', '75', '241', '53', '201', '6']
13 ['227', '46', '101', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '229', '119', '62', '123', '160', '108', '207', '237', '75', '241', '53', '6', '191']
14 ['227', '46', '101', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '229', '119', '62', '123', '160', '108', '207', '237', '75', '53', '6', '191', '130']
15 ['227', '46', '101', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '229', '119', '62', '123', '160', '108', '207', '237', '75', '53', '6', '191', '130']
16 ['227', '46', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '229', '119', '62', '123', '160', '108', '237', '75', '53', '6', '191', '130', '101', '135']
17 ['227', '46', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '229', '119', '62', '123', '160', '108', '237', '75', '53', '6', '191', '130', '101', '135']
18 ['46', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '119', '62', '123', '160', '108', '237', '75', '53', '6', '191', '130', '101', '135', '141', '170']
19 ['46', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '119', '62', '123', '160', '108', '237', '75', '53', '6', '191', '130', '101', '135', '141', '170']
20 ['46', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '119', '62', '123', '160', '108', '237', '75', '53', '6', '191', '130', '101', '135', '141', '170']
21 ['46', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '119', '62', '123', '160', '108', '237', '75', '53', '6', '191', '130', '101', '135', '141', '170']
22 ['46', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '119', '62', '123', '160', '108', '237', '75', '53', '6', '191', '130', '101', '135', '141', '170']
23 ['46', '147', '81', '22', '254', '13', '38', '176', '218', '32', '213', '119', '62', '123', '160', '108', '237', '75', '53', '6', '191', '130', '101', '135', '141', '170']
24 ['46', '81', '22', '254', '13', '38', '176', '218', '32', '213', '119', '62', '123', '160', '108', '237', '75', '53', '6', '191', '130', '101', '135', '170', '149', '145']
25 ['46', '81', '22', '254', '13', '38', '176', '218', '32', '213', '119', '62', '123', '160', '108', '237', '75', '53', '6', '191', '130', '101', '135', '170', '149', '145']
