0 ['164', '100', '252', '317', '312', '169', '13', '223', '247', '50', '318', '109', '79', '255', '85', '215', '221', '96', '7', '136', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307']
1 ['164', '100', '252', '317', '312', '169', '13', '247', '50', '109', '79', '255', '85', '215', '221', '96', '7', '136', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78']
2 ['164', '252', '317', '312', '169', '13', '247', '50', '109', '79', '255', '85', '215', '221', '96', '7', '136', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '156']
3 ['164', '252', '317', '312', '169', '13', '247', '50', '109', '79', '255', '85', '215', '221', '96', '7', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '156', '306']
4 ['164', '252', '317', '312', '169', '13', '50', '109', '79', '255', '85', '215', '221', '96', '7', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '156', '306', '208']
5 ['164', '252', '317', '312', '169', '13', '50', '109', '79', '255', '85', '215', '221', '96', '7', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '156', '306', '208']
6 ['252', '317', '312', '169', '13', '50', '109', '79', '255', '85', '215', '221', '96', '7', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '156', '306', '208', '70']
7 ['252', '317', '312', '169', '13', '50', '109', '79', '255', '85', '215', '221', '96', '7', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '156', '306', '208', '70']
8 ['252', '317', '312', '169', '13', '50', '109', '79', '255', '85', '215', '221', '96', '7', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '156', '306', '208', '70']
9 ['252', '317', '312', '169', '13', '50', '109', '79', '255', '85', '215', '221', '96', '7', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '156', '306', '208', '70']
10 ['252', '312', '169', '13', '50', '109', '255', '85', '215', '221', '96', '7', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '156', '306', '208', '70', '79', '298']
11 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '96', '7', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '156', '306', '208', '70', '79', '298', '278']
12 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '96', '7', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '156', '306', '208', '70', '79', '298', '278']
13 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '96', '7', '195', '227', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '156', '306', '208', '79', '298', '278', '233']
14 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '96', '7', '195', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '156', '306', '208', '79', '298', '278', '233', '185']
15 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '96', '7', '195', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '306', '208', '79', '298', '278', '233', '185', '97']
16 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '96', '7', '195', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '306', '208', '79', '298', '278', '233', '185', '97']
17 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '96', '7', '195', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '306', '208', '79', '298', '278', '233', '185', '97']
18 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '96', '7', '195', '254', '135', '113', '126', '40', '296', '61', '133', '146', '94', '307', '223', '78', '306', '208', '79', '298', '278', '233', '185', '97']
19 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '7', '195', '254', '135', '113', '126', '296', '61', '133', '146', '94', '307', '223', '78', '306', '208', '79', '298', '278', '233', '185', '97', '62', '24']
20 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '7', '195', '254', '135', '113', '126', '296', '61', '133', '146', '94', '307', '223', '78', '306', '208', '79', '298', '278', '233', '185', '97', '62', '24']
21 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '7', '195', '254', '135', '113', '126', '296', '133', '146', '94', '307', '223', '78', '306', '208', '79', '298', '278', '233', '185', '97', '62', '24', '111']
22 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '7', '195', '254', '135', '113', '126', '296', '133', '146', '94', '307', '223', '78', '306', '208', '79', '298', '278', '233', '185', '97', '62', '24', '111']
23 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '7', '195', '254', '135', '113', '126', '296', '133', '146', '94', '307', '223', '78', '306', '208', '79', '298', '278', '233', '185', '97', '62', '24', '111']
24 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '7', '195', '254', '135', '113', '126', '296', '133', '146', '94', '307', '223', '78', '306', '208', '298', '278', '233', '185', '97', '62', '24', '111', '176']
25 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '7', '195', '254', '135', '113', '126', '296', '133', '146', '94', '307', '223', '78', '306', '208', '298', '278', '233', '185', '97', '62', '24', '111', '176']
26 ['252', '312', '169', '50', '109', '255', '85', '215', '221', '7', '195', '254', '135', '113', '126', '296', '133', '146', '94', '307', '223', '78', '306', '208', '298', '278', '233', '185', '97', '62', '24', '111', '176']
