0 ['441', '235', '211', '84', '507', '375', '197', '340', '291', '302', '361', '400', '391', '454', '401', '287', '362', '153', '120', '131', '99', '170', '36', '258', '367', '305', '136', '496', '418', '29', '430', '23', '281', '240', '365', '330', '403', '466', '80', '215', '193', '212', '221', '337', '273', '354', '344', '41', '357', '253', '452', '385']
1 ['441', '235', '211', '84', '507', '375', '197', '340', '291', '302', '361', '400', '391', '454', '401', '287', '153', '120', '131', '99', '170', '36', '258', '367', '305', '136', '496', '418', '29', '430', '23', '281', '240', '365', '330', '403', '466', '80', '193', '212', '221', '337', '273', '354', '344', '41', '357', '253', '452', '385', '362', '244']
2 ['441', '235', '211', '84', '507', '375', '197', '340', '291', '302', '361', '400', '391', '454', '401', '287', '153', '120', '131', '99', '170', '36', '258', '367', '305', '136', '496', '418', '29', '430', '23', '281', '240', '365', '330', '403', '466', '80', '193', '212', '221', '337', '273', '354', '344', '41', '357', '452', '385', '362', '244', '423']
3 ['441', '235', '84', '507', '375', '197', '340', '291', '302', '361', '400', '391', '454', '401', '287', '153', '120', '131', '99', '170', '36', '258', '367', '305', '136', '496', '418', '29', '430', '23', '281', '240', '365', '330', '403', '466', '80', '193', '212', '221', '337', '273', '354', '344', '41', '357', '452', '385', '362', '244', '423', '501']
4 ['441', '235', '84', '507', '375', '340', '291', '302', '361', '400', '391', '454', '401', '287', '153', '120', '131', '99', '170', '36', '258', '367', '305', '136', '496', '418', '29', '430', '23', '281', '240', '365', '330', '403', '466', '80', '193', '212', '221', '337', '273', '354', '344', '41', '357', '452', '385', '362', '244', '423', '501', '293']
5 ['441', '235', '84', '507', '375', '340', '291', '302', '361', '400', '391', '454', '401', '287', '153', '120', '131', '99', '170', '258', '367', '305', '136', '496', '418', '29', '430', '23', '281', '240', '365', '330', '403', '466', '80', '193', '212', '221', '337', '273', '354', '344', '41', '357', '452', '385', '362', '244', '423', '501', '293', '254']
6 ['441', '235', '84', '507', '375', '340', '291', '302', '361', '400', '391', '454', '401', '287', '153', '120', '131', '99', '170', '258', '367', '305', '136', '496', '418', '29', '430', '23', '281', '240', '365', '330', '403', '466', '80', '193', '212', '221', '337', '354', '344', '41', '357', '452', '385', '362', '244', '423', '501', '293', '254', '348']
7 ['441', '235', '84', '507', '375', '340', '291', '302', '361', '400', '391', '454', '401', '287', '153', '120', '131', '99', '170', '258', '367', '305', '136', '496', '418', '29', '430', '23', '281', '240', '365', '330', '403', '466', '80', '193', '212', '221', '337', '354', '344', '41', '357', '452', '385', '362', '244', '423', '501', '293', '254', '348']
8 ['441', '235', '84', '507', '375', '340', '291', '302', '361', '400', '391', '454', '401', '287', '153', '120', '131', '99', '170', '258', '367', '305', '136', '496', '418', '29', '430', '23', '281', '240', '365', '330', '403', '466', '80', '193', '212', '221', '337', '354', '344', '41', '357', '452', '385', '362', '244', '423', '501', '293', '254', '348']
9 ['441', '235', '84', '507', '375', '340', '291', '302', '361', '400', '391', '454', '401', '287', '153', '120', '131', '99', '170', '258', '367', '305', '136', '496', '418', '29', '430', '23', '281', '240', '365', '330', '403', '466', '80', '193', '212', '221', '337', '354', '344', '41', '357', '452', '385', '362', '244', '423', '501', '293', '254', '348']
10 ['441', '235', '84', '507', '375', '340', '291', '302', '361', '400', '391', '454', '401', '287', '153', '120', '131', '99', '170', '258', '367', '305', '136', '496', '418', '29', '430', '23', '281', '240', '365', '330', '403', '466', '80', '193', '212', '221', '337', '354', '344', '41', '357', '452', '385', '362', '244', '423', '501', '293', '254', '348']
