0 ['46', '313', '410', '221', '449', '463', '345', '373', '260', '417', '45', '77', '237', '192', '416', '484', '238', '320', '439', '33', '337', '499', '283', '248', '475', '262', '318', '426', '222', '103', '513', '37', '108', '10', '39', '231', '90', '226', '394', '202', '198', '240', '215', '107', '242', '514', '143', '453', '334', '82', '329', '127']
1 ['46', '313', '410', '221', '449', '463', '345', '373', '260', '417', '45', '77', '237', '192', '416', '484', '238', '320', '439', '33', '337', '499', '283', '248', '475', '262', '318', '426', '222', '103', '513', '37', '108', '10', '39', '231', '90', '226', '394', '202', '198', '240', '215', '107', '242', '514', '143', '453', '334', '82', '329', '127']
2 ['221', '449', '463', '345', '373', '260', '417', '45', '77', '237', '192', '416', '484', '238', '320', '439', '33', '337', '499', '283', '248', '475', '262', '318', '426', '222', '103', '513', '37', '108', '10', '39', '231', '90', '226', '394', '202', '198', '240', '215', '107', '242', '514', '143', '453', '334', '82', '329', '127', '184', '136', '216']
3 ['449', '463', '345', '373', '260', '417', '45', '77', '237', '192', '416', '484', '238', '320', '439', '33', '337', '499', '283', '248', '475', '262', '318', '426', '222', '103', '513', '37', '108', '10', '39', '231', '90', '226', '394', '202', '198', '240', '215', '107', '242', '514', '143', '453', '334', '82', '329', '127', '184', '136', '216', '49']
4 ['463', '345', '373', '260', '417', '45', '77', '237', '192', '416', '484', '238', '320', '439', '33', '337', '499', '283', '248', '475', '262', '318', '426', '222', '103', '513', '37', '108', '10', '39', '231', '90', '226', '394', '202', '198', '240', '215', '107', '242', '514', '143', '453', '334', '82', '329', '127', '184', '136', '216', '49', '336']
5 ['463', '345', '373', '260', '417', '45', '77', '237', '192', '416', '484', '238', '320', '439', '33', '337', '499', '283', '248', '475', '262', '318', '426', '222', '103', '513', '37', '108', '10', '39', '231', '90', '226', '394', '202', '198', '240', '215', '107', '242', '514', '143', '453', '334', '82', '329', '127', '184', '136', '216', '49', '336']
6 ['463', '345', '373', '260', '417', '45', '77', '237', '192', '416', '484', '238', '320', '439', '33', '337', '499', '283', '248', '475', '262', '318', '426', '222', '103', '513', '37', '108', '10', '39', '231', '90', '226', '394', '202', '198', '240', '215', '107', '242', '514', '143', '453', '334', '82', '329', '127', '184', '136', '216', '49', '336']
7 ['463', '345', '373', '260', '417', '45', '77', '237', '192', '416', '484', '238', '320', '439', '33', '337', '499', '283', '248', '475', '262', '318', '426', '222', '103', '513', '37', '108', '10', '39', '231', '90', '226', '394', '202', '198', '240', '215', '107', '242', '514', '143', '453', '334', '82', '329', '127', '184', '136', '216', '49', '336']
8 ['463', '345', '373', '260', '417', '45', '77', '237', '192', '416', '484', '238', '320', '439', '33', '337', '499', '283', '248', '475', '262', '318', '426', '222', '103', '513', '37', '108', '10', '39', '231', '90', '226', '394', '202', '198', '240', '215', '107', '242', '514', '143', '453', '334', '82', '329', '127', '184', '136', '216', '49', '336']
9 ['463', '345', '373', '260', '417', '45', '77', '237', '192', '416', '484', '238', '320', '439', '33', '337', '499', '283', '248', '475', '262', '318', '426', '222', '103', '513', '37', '108', '10', '39', '231', '90', '226', '394', '202', '198', '240', '215', '107', '242', '514', '143', '453', '334', '82', '329', '127', '184', '136', '216', '49', '336']
10 ['463', '345', '373', '260', '417', '45', '77', '237', '192', '416', '484', '238', '320', '439', '33', '337', '499', '283', '248', '475', '262', '318', '426', '222', '103', '513', '37', '108', '10', '39', '231', '90', '226', '394', '202', '198', '240', '215', '107', '242', '514', '143', '453', '334', '82', '329', '127', '184', '136', '216', '49', '336']
