0 ['27', '25', '34']
1 ['27', '25', '34']
2 ['27', '25', '34']
3 ['27', '25', '34']
4 ['27', '25', '34']
5 ['27', '25', '34']
6 ['27', '25', '34']
7 ['27', '25', '34']
8 ['27', '25', '34']
9 ['27', '25', '34']
20 ['59', '0', '49']
21 ['59', '0', '49']
22 ['59', '0', '49']
23 ['59', '0', '49']
24 ['59', '0', '49']
25 ['59', '0', '49']
26 ['59', '0', '49']
27 ['59', '0', '49']
28 ['59', '0', '49']
29 ['59', '0', '49']
40 ['6', '10', '42']
41 ['6', '10', '42']
42 ['6', '10', '42']
43 ['6', '10', '42']
44 ['6', '10', '42']
45 ['6', '10', '42']
46 ['6', '10', '42']
47 ['6', '10', '42']
48 ['6', '10', '42']
49 ['6', '10', '42']
60 ['56', '61', '2']
61 ['56', '61', '2']
62 ['56', '61', '2']
63 ['56', '61', '2']
64 ['56', '61', '2']
65 ['56', '61', '2']
66 ['56', '61', '2']
67 ['56', '61', '2']
68 ['56', '61', '2']
69 ['56', '61', '2']
80 ['6', '37', '41']
81 ['6', '37', '41']
82 ['6', '37', '41']
83 ['6', '37', '41']
84 ['6', '37', '41']
85 ['6', '37', '41']
86 ['6', '37', '41']
87 ['6', '37', '41']
88 ['6', '37', '41']
89 ['6', '37', '41']
100 ['56', '9', '33']
101 ['56', '9', '33']
102 ['56', '9', '33']
103 ['56', '9', '33']
104 ['56', '9', '33']
105 ['56', '9', '33']
106 ['56', '9', '33']
107 ['56', '9', '33']
108 ['56', '9', '33']
109 ['56', '9', '33']
120 ['27', '4', '15']
121 ['27', '4', '15']
122 ['27', '4', '15']
123 ['27', '4', '15']
124 ['27', '4', '15']
125 ['27', '4', '15']
126 ['27', '4', '15']
127 ['27', '4', '15']
128 ['27', '4', '15']
129 ['27', '4', '15']
140 ['0', '42', '12']
141 ['0', '42', '12']
142 ['0', '42', '12']
143 ['0', '42', '12']
144 ['0', '42', '12']
145 ['0', '42', '12']
146 ['0', '42', '12']
147 ['0', '42', '12']
148 ['0', '42', '12']
149 ['0', '42', '12']
160 ['1', '61', '20']
161 ['1', '61', '20']
162 ['1', '61', '20']
163 ['1', '61', '20']
164 ['1', '61', '20']
165 ['1', '61', '20']
166 ['1', '61', '20']
167 ['1', '61', '20']
168 ['1', '61', '20']
169 ['1', '61', '20']
180 ['12', '6', '34']
181 ['12', '6', '34']
182 ['12', '6', '34']
183 ['12', '6', '34']
184 ['12', '6', '34']
185 ['12', '6', '34']
186 ['12', '6', '34']
187 ['12', '6', '34']
188 ['12', '6', '34']
189 ['12', '6', '34']
200 ['53', '11', '61']
201 ['53', '11', '61']
202 ['53', '11', '61']
203 ['53', '11', '61']
204 ['53', '11', '61']
205 ['53', '11', '61']
206 ['53', '11', '61']
207 ['53', '11', '61']
208 ['53', '11', '61']
209 ['53', '11', '61']
220 ['35', '46', '16']
221 ['35', '46', '16']
222 ['35', '46', '16']
223 ['35', '46', '16']
224 ['35', '46', '16']
225 ['35', '46', '16']
226 ['35', '46', '16']
227 ['35', '46', '16']
228 ['35', '46', '16']
229 ['35', '46', '16']
240 ['26', '57', '0']
241 ['26', '57', '0']
242 ['26', '57', '0']
243 ['26', '57', '0']
244 ['26', '57', '0']
245 ['26', '57', '0']
246 ['26', '57', '0']
247 ['26', '57', '0']
248 ['26', '57', '0']
249 ['26', '57', '0']
260 ['3', '43', '0']
261 ['3', '43', '0']
262 ['3', '43', '0']
263 ['3', '43', '0']
264 ['3', '43', '0']
265 ['3', '43', '0']
266 ['3', '43', '0']
267 ['3', '43', '0']
268 ['3', '43', '0']
269 ['3', '43', '0']
280 ['36', '32', '45']
281 ['36', '32', '45']
282 ['36', '32', '45']
283 ['36', '32', '45']
284 ['36', '32', '45']
285 ['36', '32', '45']
286 ['36', '32', '45']
287 ['36', '32', '45']
288 ['36', '32', '45']
289 ['36', '32', '45']
300 ['39', '61', '56']
301 ['39', '61', '56']
302 ['39', '61', '56']
303 ['39', '61', '56']
304 ['39', '61', '56']
305 ['39', '61', '56']
306 ['39', '61', '56']
307 ['39', '61', '56']
308 ['39', '61', '56']
309 ['39', '61', '56']
320 ['54', '26', '44']
321 ['54', '26', '44']
322 ['54', '26', '44']
323 ['54', '26', '44']
324 ['54', '26', '44']
325 ['54', '26', '44']
326 ['54', '26', '44']
327 ['54', '26', '44']
328 ['54', '26', '44']
329 ['54', '26', '44']
340 ['16', '50', '32']
341 ['16', '50', '32']
342 ['16', '50', '32']
343 ['16', '50', '32']
344 ['16', '50', '32']
345 ['16', '50', '32']
346 ['16', '50', '32']
347 ['16', '50', '32']
348 ['16', '50', '32']
349 ['16', '50', '32']
360 ['36', '56', '6']
361 ['36', '56', '6']
362 ['36', '56', '6']
363 ['36', '56', '6']
364 ['36', '56', '6']
365 ['36', '56', '6']
366 ['36', '56', '6']
367 ['36', '56', '6']
368 ['36', '56', '6']
369 ['36', '56', '6']
380 ['38', '25', '50']
381 ['38', '25', '50']
382 ['38', '25', '50']
383 ['38', '25', '50']
384 ['38', '25', '50']
385 ['38', '25', '50']
386 ['38', '25', '50']
387 ['38', '25', '50']
388 ['38', '25', '50']
389 ['38', '25', '50']
400 ['41', '47', '37']
401 ['41', '47', '37']
402 ['41', '47', '37']
403 ['41', '47', '37']
404 ['41', '47', '37']
405 ['41', '47', '37']
406 ['41', '47', '37']
407 ['41', '47', '37']
408 ['41', '47', '37']
409 ['41', '47', '37']
420 ['47', '23', '36']
421 ['47', '23', '36']
422 ['47', '23', '36']
423 ['47', '23', '36']
424 ['47', '23', '36']
425 ['47', '23', '36']
426 ['47', '23', '36']
427 ['47', '23', '36']
428 ['47', '23', '36']
429 ['47', '23', '36']
440 ['41', '11', '61']
441 ['41', '11', '61']
442 ['41', '11', '61']
443 ['41', '11', '61']
444 ['41', '11', '61']
445 ['41', '11', '61']
446 ['41', '11', '61']
447 ['41', '11', '61']
448 ['41', '11', '61']
449 ['41', '11', '61']
460 ['38', '10', '8']
461 ['38', '10', '8']
462 ['38', '10', '8']
463 ['38', '10', '8']
464 ['38', '10', '8']
465 ['38', '10', '8']
466 ['38', '10', '8']
467 ['38', '10', '8']
468 ['38', '10', '8']
469 ['38', '10', '8']
480 ['39', '25', '61']
481 ['39', '25', '61']
482 ['39', '25', '61']
483 ['39', '25', '61']
484 ['39', '25', '61']
485 ['39', '25', '61']
486 ['39', '25', '61']
487 ['39', '25', '61']
488 ['39', '25', '61']
489 ['39', '25', '61']
500 ['60', '36', '45']
501 ['60', '36', '45']
502 ['60', '36', '45']
503 ['60', '36', '45']
504 ['60', '36', '45']
505 ['60', '36', '45']
506 ['60', '36', '45']
507 ['60', '36', '45']
508 ['60', '36', '45']
509 ['60', '36', '45']
520 ['35', '42', '5']
521 ['35', '42', '5']
522 ['35', '42', '5']
523 ['35', '42', '5']
524 ['35', '42', '5']
525 ['35', '42', '5']
526 ['35', '42', '5']
527 ['35', '42', '5']
