0 ['26', '41', '12', '47']
1 ['26', '41', '12', '47']
2 ['26', '41', '12', '47']
3 ['26', '41', '12', '47']
4 ['26', '41', '12', '47']
5 ['26', '41', '12', '47']
6 ['26', '41', '12', '47']
7 ['26', '41', '12', '47']
8 ['26', '41', '12', '47']
9 ['26', '41', '12', '47']
20 ['14', '36', '18', '19']
21 ['14', '36', '18', '19']
22 ['14', '36', '18', '19']
23 ['14', '36', '18', '19']
24 ['14', '36', '18', '19']
25 ['14', '36', '18', '19']
26 ['14', '36', '18', '19']
27 ['14', '36', '18', '19']
28 ['14', '36', '18', '19']
29 ['14', '36', '18', '19']
40 ['37', '32', '43', '57']
41 ['37', '32', '43', '57']
42 ['37', '32', '43', '57']
43 ['37', '32', '43', '57']
44 ['37', '32', '43', '57']
45 ['37', '32', '43', '57']
46 ['37', '32', '43', '57']
47 ['37', '32', '43', '57']
48 ['37', '32', '43', '57']
49 ['37', '32', '43', '57']
60 ['61', '57', '29', '56']
61 ['61', '57', '29', '56']
62 ['61', '57', '29', '56']
63 ['61', '57', '29', '56']
64 ['61', '57', '29', '56']
65 ['61', '57', '29', '56']
66 ['61', '57', '29', '56']
67 ['61', '57', '29', '56']
68 ['61', '57', '29', '56']
69 ['61', '57', '29', '56']
80 ['53', '55', '20', '17']
81 ['53', '55', '20', '17']
82 ['53', '55', '20', '17']
83 ['53', '55', '20', '17']
84 ['53', '55', '20', '17']
85 ['53', '55', '20', '17']
86 ['53', '55', '20', '17']
87 ['53', '55', '20', '17']
88 ['53', '55', '20', '17']
89 ['53', '55', '20', '17']
100 ['12', '49', '24', '46']
101 ['12', '49', '24', '46']
102 ['12', '49', '24', '46']
103 ['12', '49', '24', '46']
104 ['12', '49', '24', '46']
105 ['12', '49', '24', '46']
106 ['12', '49', '24', '46']
107 ['12', '49', '24', '46']
108 ['12', '49', '24', '46']
109 ['12', '49', '24', '46']
120 ['22', '10', '34', '27']
121 ['22', '10', '34', '27']
122 ['22', '10', '34', '27']
123 ['22', '10', '34', '27']
124 ['22', '10', '34', '27']
125 ['22', '10', '34', '27']
126 ['22', '10', '34', '27']
127 ['22', '10', '34', '27']
128 ['22', '10', '34', '27']
129 ['22', '10', '34', '27']
140 ['10', '55', '31', '19']
141 ['10', '55', '31', '19']
142 ['10', '55', '31', '19']
143 ['10', '55', '31', '19']
144 ['10', '55', '31', '19']
145 ['10', '55', '31', '19']
146 ['10', '55', '31', '19']
147 ['10', '55', '31', '19']
148 ['10', '55', '31', '19']
149 ['10', '55', '31', '19']
160 ['18', '34', '39', '10']
161 ['18', '34', '39', '10']
162 ['18', '34', '39', '10']
163 ['18', '34', '39', '10']
164 ['18', '34', '39', '10']
165 ['18', '34', '39', '10']
166 ['18', '34', '39', '10']
167 ['18', '34', '39', '10']
168 ['18', '34', '39', '10']
169 ['18', '34', '39', '10']
180 ['56', '28', '17', '5']
181 ['56', '28', '17', '5']
182 ['56', '28', '17', '5']
183 ['56', '28', '17', '5']
184 ['56', '28', '17', '5']
185 ['56', '28', '17', '5']
186 ['56', '28', '17', '5']
187 ['56', '28', '17', '5']
188 ['56', '28', '17', '5']
189 ['56', '28', '17', '5']
200 ['4', '11', '47', '51']
201 ['4', '11', '47', '51']
202 ['4', '11', '47', '51']
203 ['4', '11', '47', '51']
204 ['4', '11', '47', '51']
205 ['4', '11', '47', '51']
206 ['4', '11', '47', '51']
207 ['4', '11', '47', '51']
208 ['4', '11', '47', '51']
209 ['4', '11', '47', '51']
220 ['38', '27', '2', '53']
221 ['38', '27', '2', '53']
222 ['38', '27', '2', '53']
223 ['38', '27', '2', '53']
224 ['38', '27', '2', '53']
225 ['38', '27', '2', '53']
226 ['38', '27', '2', '53']
227 ['38', '27', '2', '53']
228 ['38', '27', '2', '53']
229 ['38', '27', '2', '53']
240 ['21', '40', '46', '31']
241 ['21', '40', '46', '31']
242 ['21', '40', '46', '31']
243 ['21', '40', '46', '31']
244 ['21', '40', '46', '31']
245 ['21', '40', '46', '31']
246 ['21', '40', '46', '31']
247 ['21', '40', '46', '31']
248 ['21', '40', '46', '31']
249 ['21', '40', '46', '31']
260 ['60', '40', '60', '38']
261 ['60', '40', '60', '38']
262 ['60', '40', '60', '38']
263 ['60', '40', '60', '38']
264 ['60', '40', '60', '38']
265 ['60', '40', '60', '38']
266 ['60', '40', '60', '38']
267 ['60', '40', '60', '38']
268 ['60', '40', '60', '38']
269 ['60', '40', '60', '38']
280 ['50', '39', '12', '25']
281 ['50', '39', '12', '25']
