0 ['47', '0', '5', '24', '22']
1 ['47', '0', '5', '24', '22']
2 ['47', '0', '5', '24', '22']
3 ['47', '0', '5', '24', '22']
4 ['47', '0', '5', '24', '22']
5 ['47', '0', '5', '24', '22']
6 ['47', '0', '5', '24', '22']
7 ['47', '0', '5', '24', '22']
8 ['47', '0', '5', '24', '22']
9 ['47', '0', '5', '24', '22']
20 ['41', '2', '60', '29', '6']
21 ['41', '2', '60', '29', '6']
22 ['41', '2', '60', '29', '6']
23 ['41', '2', '60', '29', '6']
24 ['41', '2', '60', '29', '6']
25 ['41', '2', '60', '29', '6']
26 ['41', '2', '60', '29', '6']
27 ['41', '2', '60', '29', '6']
28 ['41', '2', '60', '29', '6']
29 ['41', '2', '60', '29', '6']
40 ['23', '46', '8', '4', '35']
41 ['23', '46', '8', '4', '35']
42 ['23', '46', '8', '4', '35']
43 ['23', '46', '8', '4', '35']
44 ['23', '46', '8', '4', '35']
45 ['23', '46', '8', '4', '35']
46 ['23', '46', '8', '4', '35']
47 ['23', '46', '8', '4', '35']
48 ['23', '46', '8', '4', '35']
49 ['23', '46', '8', '4', '35']
60 ['42', '50', '34', '42', '5']
61 ['42', '50', '34', '42', '5']
62 ['42', '50', '34', '42', '5']
63 ['42', '50', '34', '42', '5']
64 ['42', '50', '34', '42', '5']
65 ['42', '50', '34', '42', '5']
66 ['42', '50', '34', '42', '5']
67 ['42', '50', '34', '42', '5']
68 ['42', '50', '34', '42', '5']
69 ['42', '50', '34', '42', '5']
80 ['61', '5', '42', '54', '3']
81 ['61', '5', '42', '54', '3']
82 ['61', '5', '42', '54', '3']
83 ['61', '5', '42', '54', '3']
84 ['61', '5', '42', '54', '3']
85 ['54', '30', '49', '56', '51']
86 ['54', '30', '49', '56', '51']
87 ['54', '30', '49', '56', '51']
88 ['54', '30', '49', '56', '51']
89 ['54', '30', '49', '56', '51']
90 ['54', '30', '49', '56', '51']
91 ['54', '30', '49', '56', '51']
92 ['54', '30', '49', '56', '51']
93 ['54', '30', '49', '56', '51']
94 ['54', '30', '49', '56', '51']
95 ['51', '50', '23', '25', '52']
96 ['51', '23', '25', '52', '1']
97 ['51', '23', '25', '52', '1']
98 ['51', '23', '25', '52', '1']
99 ['51', '23', '25', '52', '1']
100 ['51', '23', '25', '52', '1']
101 ['51', '23', '25', '52', '1']
102 ['51', '23', '25', '52', '1']
103 ['51', '23', '25', '52', '1']
104 ['51', '23', '25', '52', '1']
105 ['51', '23', '25', '52', '1']
106 ['51', '23', '25', '52', '1']
117 ['51', '25', '52', '1', '6']
118 ['51', '25', '52', '1', '6']
119 ['51', '25', '52', '1', '6']
120 ['51', '25', '52', '1', '6']
121 ['51', '25', '52', '1', '6']
122 ['51', '25', '52', '1', '6']
123 ['51', '25', '52', '1', '6']
124 ['51', '25', '52', '1', '6']
125 ['51', '25', '52', '1', '6']
126 ['51', '25', '52', '1', '6']
137 ['51', '25', '6', '52', '43']
138 ['51', '25', '6', '52', '43']
139 ['51', '25', '6', '52', '43']
140 ['51', '25', '6', '52', '43']
141 ['51', '25', '6', '52', '43']
142 ['51', '25', '6', '52', '43']
143 ['51', '25', '6', '52', '43']
144 ['51', '25', '6', '52', '43']
145 ['51', '6', '52', '25', '1']
146 ['51', '6', '52', '25', '1']
147 ['51', '6', '52', '25', '1']
148 ['51', '6', '52', '25', '1']
149 ['51', '6', '52', '25', '1']
150 ['51', '6', '52', '25', '1']
