0 ['25', '13', '3', '57', '6', '11']
1 ['25', '13', '3', '57', '6', '11']
2 ['25', '13', '3', '57', '6', '11']
3 ['25', '13', '3', '57', '6', '11']
4 ['25', '13', '3', '57', '6', '11']
5 ['25', '13', '3', '57', '6', '11']
6 ['25', '13', '3', '57', '6', '11']
7 ['25', '13', '3', '57', '6', '11']
8 ['25', '13', '3', '57', '6', '11']
9 ['25', '13', '3', '57', '6', '11']
20 ['27', '36', '29', '21', '2', '10']
21 ['27', '36', '29', '21', '2', '10']
22 ['27', '36', '29', '21', '2', '10']
23 ['27', '36', '29', '21', '2', '10']
24 ['27', '36', '29', '21', '2', '10']
25 ['27', '36', '29', '21', '2', '10']
26 ['27', '36', '29', '21', '2', '10']
27 ['27', '36', '29', '21', '2', '10']
28 ['27', '36', '29', '21', '2', '10']
29 ['27', '36', '29', '21', '2', '10']
40 ['47', '6', '39', '11', '16', '59']
41 ['47', '6', '39', '11', '16', '59']
42 ['47', '6', '39', '11', '16', '59']
43 ['47', '6', '39', '11', '16', '59']
44 ['47', '6', '39', '11', '16', '59']
45 ['47', '6', '39', '11', '16', '59']
46 ['47', '6', '39', '11', '16', '59']
47 ['47', '6', '39', '11', '16', '59']
48 ['47', '6', '39', '11', '16', '59']
49 ['47', '6', '39', '11', '16', '59']
60 ['39', '39', '0', '19', '11', '4']
61 ['39', '39', '0', '19', '11', '4']
62 ['39', '39', '0', '19', '11', '4']
63 ['39', '39', '0', '19', '11', '4']
64 ['39', '39', '0', '19', '11', '4']
65 ['39', '39', '0', '19', '11', '4']
66 ['39', '39', '0', '19', '11', '4']
67 ['39', '39', '0', '19', '11', '4']
68 ['39', '39', '0', '19', '11', '4']
69 ['39', '39', '0', '19', '11', '4']
80 ['25', '50', '39', '44', '1', '7']
81 ['25', '50', '39', '44', '1', '7']
82 ['25', '50', '39', '44', '1', '7']
83 ['25', '50', '39', '44', '1', '7']
84 ['25', '50', '39', '44', '1', '7']
85 ['25', '50', '39', '44', '1', '7']
86 ['25', '50', '39', '44', '1', '7']
87 ['25', '50', '39', '44', '1', '7']
88 ['25', '50', '39', '44', '1', '7']
89 ['25', '50', '39', '44', '1', '7']
100 ['26', '21', '54', '42', '18', '5']
101 ['26', '21', '54', '42', '18', '5']
102 ['26', '21', '54', '42', '18', '5']
103 ['26', '21', '54', '42', '18', '5']
104 ['26', '21', '54', '42', '18', '5']
105 ['26', '21', '54', '42', '18', '5']
106 ['26', '21', '54', '42', '18', '5']
107 ['26', '21', '54', '42', '18', '5']
108 ['26', '21', '54', '42', '18', '5']
109 ['26', '21', '54', '42', '18', '5']
120 ['12', '25', '11', '48', '37', '26']
121 ['12', '25', '11', '48', '37', '26']
122 ['12', '25', '11', '48', '37', '26']
123 ['12', '25', '11', '48', '37', '26']
124 ['12', '25', '11', '48', '37', '26']
125 ['12', '25', '11', '48', '37', '26']
126 ['12', '25', '11', '48', '37', '26']
