0 ['56', '27', '33', '19', '35', '26', '28']
1 ['56', '27', '33', '19', '35', '26', '28']
2 ['56', '27', '33', '19', '35', '26', '28']
3 ['56', '27', '33', '19', '35', '26', '28']
4 ['56', '27', '33', '19', '35', '26', '28']
5 ['56', '27', '33', '19', '35', '26', '28']
6 ['56', '27', '33', '19', '35', '26', '28']
7 ['56', '27', '33', '19', '35', '26', '28']
8 ['56', '27', '33', '19', '35', '26', '28']
9 ['56', '27', '33', '19', '35', '26', '28']
20 ['3', '0', '20', '20', '0', '30', '43']
21 ['3', '0', '20', '20', '0', '30', '43']
22 ['3', '0', '20', '20', '0', '30', '43']
23 ['3', '0', '20', '20', '0', '30', '43']
24 ['3', '0', '20', '20', '0', '30', '43']
25 ['3', '0', '20', '20', '0', '30', '43']
26 ['3', '0', '20', '20', '0', '30', '43']
27 ['3', '0', '20', '20', '0', '30', '43']
28 ['3', '0', '20', '20', '0', '30', '43']
29 ['3', '0', '20', '20', '0', '30', '43']
40 ['12', '6', '12', '13', '23', '31', '61']
41 ['12', '6', '12', '13', '23', '31', '61']
42 ['12', '6', '12', '13', '23', '31', '61']
43 ['12', '6', '12', '13', '23', '31', '61']
44 ['12', '6', '12', '13', '23', '31', '61']
45 ['12', '6', '12', '13', '23', '31', '61']
46 ['12', '6', '12', '13', '23', '31', '61']
47 ['12', '6', '12', '13', '23', '31', '61']
48 ['12', '6', '12', '13', '23', '31', '61']
49 ['12', '6', '12', '13', '23', '31', '61']
60 ['54', '14', '33', '58', '21', '10', '33']
61 ['54', '14', '33', '58', '21', '10', '33']
62 ['54', '14', '33', '58', '21', '10', '33']
63 ['54', '14', '33', '58', '21', '10', '33']
64 ['54', '14', '33', '58', '21', '10', '33']
65 ['54', '14', '33', '58', '21', '10', '33']
66 ['54', '14', '33', '58', '21', '10', '33']
67 ['54', '14', '33', '58', '21', '10', '33']
68 ['54', '14', '33', '58', '21', '10', '33']
69 ['54', '14', '33', '58', '21', '10', '33']
80 ['38', '54', '4', '15', '58', '32', '40']
81 ['38', '54', '4', '15', '58', '32', '40']
82 ['38', '54', '4', '15', '58', '32', '40']
83 ['38', '54', '4', '15', '58', '32', '40']
84 ['38', '54', '4', '15', '58', '32', '40']
85 ['38', '54', '4', '15', '58', '32', '40']
86 ['38', '54', '4', '15', '58', '32', '40']
87 ['38', '54', '4', '15', '58', '32', '40']
88 ['38', '54', '4', '15', '58', '32', '40']
89 ['38', '54', '4', '15', '58', '32', '40']
100 ['5', '27', '10', '7', '31', '23', '6']
101 ['5', '27', '10', '7', '31', '23', '6']
102 ['5', '27', '10', '7', '31', '23', '6']
103 ['5', '27', '10', '7', '31', '23', '6']
104 ['5', '27', '10', '7', '31', '23', '6']
105 ['5', '27', '10', '7', '31', '23', '6']
106 ['5', '27', '10', '7', '31', '23', '6']
107 ['5', '27', '10', '7', '31', '23', '6']
108 ['5', '27', '10', '7', '31', '23', '6']
109 ['5', '27', '10', '7', '31', '23', '6']
120 ['57', '17', '56', '46', '18', '4', '17']
121 ['57', '17', '56', '46', '18', '4', '17']
122 ['57', '17', '56', '46', '18', '4', '17']
123 ['57', '17', '56', '46', '18', '4', '17']
124 ['57', '17', '56', '46', '18', '4', '17']
125 ['57', '17', '56', '46', '18', '4', '17']
126 ['57', '17', '56', '46', '18', '4', '17']
127 ['57', '17', '56', '46', '18', '4', '17']
128 ['57', '17', '56', '46', '18', '4', '17']
129 ['57', '17', '56', '46', '18', '4', '17']
140 ['25', '22', '38', '25', '38', '41', '10']
141 ['25', '22', '38', '25', '38', '41', '10']
142 ['25', '22', '38', '25', '38', '41', '10']
143 ['25', '22', '38', '25', '38', '41', '10']
144 ['25', '22', '38', '25', '38', '41', '10']
145 ['60', '48', '52', '13', '11', '8', '51']
146 ['48', '52', '13', '11', '8', '51', '6']
147 ['48', '52', '13', '11', '8', '51', '6']
148 ['48', '52', '13', '11', '8', '51', '6']
149 ['48', '52', '13', '11', '8', '51', '6']
150 ['48', '52', '13', '11', '8', '51', '6']
151 ['48', '52', '13', '11', '8', '51', '6']
152 ['48', '52', '13', '11', '8', '51', '6']
153 ['48', '52', '13', '11', '8', '51', '6']
154 ['48', '52', '13', '11', '8', '51', '6']
155 ['48', '52', '13', '11', '8', '51', '6']
156 ['48', '52', '13', '11', '8', '51', '6']
167 ['52', '51', '6', '42', '55', '44', '10']
168 ['52', '51', '6', '42', '55', '44', '10']
169 ['52', '51', '6', '42', '55', '44', '10']
170 ['52', '51', '6', '42', '55', '44', '10']
171 ['52', '51', '6', '42', '55', '44', '10']
172 ['52', '51', '6', '42', '55', '44', '10']
173 ['52', '51', '6', '42', '55', '44', '10']
174 ['52', '51', '6', '42', '55', '44', '10']
175 ['52', '51', '6', '42', '55', '44', '10']
176 ['52', '51', '6', '42', '55', '44', '10']
187 ['52', '51', '6', '3', '53', '19', '27']
188 ['52', '51', '6', '43', '18', '5', '25']
189 ['52', '51', '6', '43', '18', '5', '25']
190 ['52', '51', '6', '43', '18', '5', '25']
191 ['52', '51', '6', '43', '18', '5', '25']
192 ['52', '51', '6', '43', '18', '5', '25']
193 ['52', '51', '6', '43', '18', '5', '25']
194 ['52', '51', '6', '43', '18', '5', '25']
195 ['52', '51', '6', '43', '18', '5', '25']
196 ['52', '51', '6', '43', '18', '5', '25']
197 ['52', '51', '25', '6', '45', '47', '59']
198 ['52', '51', '25', '6', '45', '47', '59']
199 ['52', '51', '25', '6', '45', '47', '59']
200 ['52', '51', '25', '6', '45', '47', '59']
201 ['52', '51', '25', '6', '45', '47', '59']
202 ['52', '51', '25', '6', '45', '47', '59']
203 ['52', '51', '25', '6', '59', '16', '1']
204 ['52', '51', '25', '6', '59', '16', '1']
205 ['52', '51', '25', '6', '59', '16', '1']
206 ['52', '51', '25', '6', '59', '16', '1']
207 ['52', '51', '25', '6', '59', '16', '1']
208 ['52', '51', '25', '6', '59', '16', '1']
209 ['52', '51', '25', '6', '59', '16', '1']
210 ['52', '51', '25', '6', '59', '16', '1']
211 ['52', '51', '25', '6', '59', '16', '1']
212 ['52', '51', '25', '6', '59', '16', '1']
213 ['52', '51', '25', '6', '59', '16', '1']
224 ['52', '51', '25', '6', '59', '1', '46']
225 ['52', '51', '25', '6', '59', '1', '46']
226 ['52', '51', '25', '6', '59', '1', '46']
227 ['52', '51', '25', '6', '59', '1', '46']
228 ['52', '51', '25', '6', '59', '1', '46']
229 ['25', '6', '59', '51', '52', '1', '5']
230 ['25', '6', '59', '51', '52', '1', '5']
231 ['25', '6', '59', '51', '52', '1', '5']
232 ['25', '6', '59', '51', '52', '1', '5']
233 ['25', '6', '59', '51', '52', '1', '5']
234 ['25', '6', '59', '51', '52', '1', '5']
235 ['25', '6', '59', '51', '52', '1', '5']
236 ['25', '6', '59', '51', '52', '1', '5']
237 ['25', '6', '59', '51', '52', '1', '5']
238 ['25', '6', '59', '51', '52', '1', '5']
239 ['25', '6', '59', '51', '52', '1', '5']
250 ['25', '6', '59', '51', '52', '5', '40']
251 ['25', '6', '59', '51', '52', '5', '40']
252 ['25', '6', '59', '51', '52', '5', '40']
253 ['25', '6', '59', '51', '52', '5', '40']
254 ['25', '6', '59', '51', '52', '5', '40']
255 ['25', '6', '59', '51', '52', '5', '40']
256 ['25', '6', '59', '51', '52', '5', '40']
257 ['25', '6', '59', '51', '52', '5', '40']
258 ['25', '6', '59', '51', '52', '5', '40']
259 ['25', '6', '59', '51', '52', '5', '40']
270 ['25', '6', '59', '51', '52', '5', '36']
271 ['25', '6', '59', '51', '52', '5', '36']
272 ['25', '6', '59', '51', '52', '5', '36']
273 ['25', '6', '59', '51', '52', '5', '36']
274 ['25', '6', '59', '51', '52', '5', '36']
275 ['25', '6', '59', '51', '52', '5', '36']
276 ['25', '6', '59', '51', '52', '5', '36']
277 ['25', '6', '59', '51', '52', '5', '36']
278 ['25', '6', '59', '51', '52', '5', '36']
279 ['25', '6', '59', '51', '52', '5', '36']
290 ['6', '59', '52', '25', '5', '51', '1']
291 ['6', '59', '52', '25', '5', '51', '1']
292 ['6', '59', '52', '25', '5', '51', '1']
293 ['6', '59', '52', '25', '5', '51', '1']
294 ['6', '59', '52', '25', '5', '51', '1']
295 ['6', '59', '52', '25', '5', '51', '1']
296 ['6', '59', '52', '25', '5', '51', '1']
297 ['6', '59', '52', '25', '5', '51', '1']
298 ['6', '59', '52', '25', '5', '51', '1']
299 ['6', '59', '52', '25', '5', '51', '1']
310 ['6', '59', '52', '25', '51', '5', '4']
311 ['6', '59', '52', '25', '51', '5', '4']
312 ['6', '59', '52', '25', '51', '5', '4']
313 ['6', '59', '52', '25', '51', '5', '4']
314 ['6', '59', '52', '25', '51', '5', '4']
315 ['6', '59', '52', '25', '51', '5', '4']
316 ['6', '59', '52', '25', '51', '5', '4']
317 ['6', '59', '52', '25', '51', '5', '4']
318 ['6', '59', '52', '25', '51', '5', '4']
319 ['6', '59', '52', '25', '51', '5', '4']
330 ['59', '52', '5', '25', '6', '51', '1']
331 ['59', '52', '5', '25', '6', '51', '1']
332 ['59', '52', '5', '25', '6', '51', '1']
333 ['59', '52', '5', '25', '6', '51', '1']
334 ['59', '52', '5', '25', '6', '51', '1']
335 ['59', '52', '5', '25', '6', '51', '1']
