0 ['6', '34', '46', '49', '57', '5', '36', '42']
1 ['6', '34', '46', '49', '57', '5', '36', '42']
2 ['6', '34', '46', '49', '57', '5', '36', '42']
3 ['6', '34', '46', '49', '57', '5', '36', '42']
4 ['6', '34', '46', '49', '57', '5', '36', '42']
5 ['6', '34', '46', '49', '57', '5', '36', '42']
6 ['6', '34', '46', '49', '57', '5', '36', '42']
7 ['6', '34', '46', '49', '57', '5', '36', '42']
8 ['6', '34', '46', '49', '57', '5', '36', '42']
9 ['6', '34', '46', '49', '57', '5', '36', '42']
20 ['15', '16', '58', '36', '6', '23', '58', '43']
21 ['15', '16', '58', '36', '6', '23', '58', '43']
22 ['15', '16', '58', '36', '6', '23', '58', '43']
23 ['15', '16', '58', '36', '6', '23', '58', '43']
24 ['15', '16', '58', '36', '6', '23', '58', '43']
25 ['15', '16', '58', '36', '6', '23', '58', '43']
26 ['15', '16', '58', '36', '6', '23', '58', '43']
27 ['15', '16', '58', '36', '6', '23', '58', '43']
28 ['15', '16', '58', '36', '6', '23', '58', '43']
29 ['15', '16', '58', '36', '6', '23', '58', '43']
40 ['11', '3', '3', '58', '55', '4', '33', '18']
41 ['11', '3', '3', '58', '55', '4', '33', '18']
42 ['11', '3', '3', '58', '55', '4', '33', '18']
43 ['11', '3', '3', '58', '55', '4', '33', '18']
44 ['11', '3', '3', '58', '55', '4', '33', '18']
45 ['11', '3', '3', '58', '55', '4', '33', '18']
46 ['11', '3', '3', '58', '55', '4', '33', '18']
47 ['11', '3', '3', '58', '55', '4', '33', '18']
48 ['11', '3', '3', '58', '55', '4', '33', '18']
49 ['11', '3', '3', '58', '55', '4', '33', '18']
60 ['14', '13', '15', '23', '19', '45', '11', '39']
61 ['14', '13', '15', '23', '19', '45', '11', '39']
62 ['14', '13', '15', '23', '19', '45', '11', '39']
63 ['14', '13', '15', '23', '19', '45', '11', '39']
64 ['14', '13', '15', '23', '19', '45', '11', '39']
65 ['14', '13', '15', '23', '19', '45', '11', '39']
66 ['14', '13', '15', '23', '19', '45', '11', '39']
67 ['14', '13', '15', '23', '19', '45', '11', '39']
68 ['14', '13', '15', '23', '19', '45', '11', '39']
69 ['14', '13', '15', '23', '19', '45', '11', '39']
80 ['0', '27', '19', '17', '41', '29', '20', '42']
81 ['0', '27', '19', '17', '41', '29', '20', '42']
82 ['0', '27', '19', '17', '41', '29', '20', '42']
83 ['0', '27', '19', '17', '41', '29', '20', '42']
84 ['0', '27', '19', '17', '41', '29', '20', '42']
85 ['0', '27', '19', '17', '41', '29', '20', '42']
86 ['0', '27', '19', '17', '41', '29', '20', '42']
87 ['0', '27', '19', '17', '41', '29', '20', '42']
88 ['0', '27', '19', '17', '41', '29', '20', '42']
89 ['0', '27', '19', '17', '41', '29', '20', '42']
100 ['46', '48', '47', '4', '39', '45', '25', '38']
101 ['46', '48', '47', '4', '39', '45', '25', '38']
102 ['46', '48', '47', '4', '39', '45', '25', '38']
103 ['46', '48', '47', '4', '39', '45', '25', '38']
104 ['46', '48', '47', '4', '39', '45', '25', '38']
105 ['46', '48', '47', '4', '39', '45', '25', '38']
106 ['46', '48', '47', '4', '39', '45', '25', '38']
107 ['46', '48', '47', '4', '39', '45', '25', '38']
108 ['46', '48', '47', '4', '39', '45', '25', '38']
109 ['46', '48', '47', '4', '39', '45', '25', '38']
120 ['51', '52', '44', '45', '58', '18', '40', '25']
121 ['51', '52', '44', '45', '58', '18', '40', '25']
122 ['51', '52', '44', '45', '58', '18', '40', '25']
123 ['51', '52', '44', '45', '58', '18', '40', '25']
124 ['51', '52', '40', '25', '55', '2', '48', '1']
125 ['51', '52', '40', '25', '55', '2', '48', '1']
126 ['51', '52', '40', '25', '55', '2', '48', '1']
127 ['51', '52', '40', '25', '55', '2', '48', '1']
128 ['51', '52', '40', '25', '55', '2', '48', '1']
129 ['51', '52', '40', '25', '55', '2', '48', '1']
130 ['51', '52', '40', '25', '55', '2', '48', '1']
131 ['51', '52', '40', '25', '55', '2', '48', '1']
132 ['51', '52', '40', '25', '55', '2', '48', '1']
133 ['51', '52', '40', '25', '55', '2', '48', '1']
134 ['51', '52', '40', '25', '55', '2', '48', '1']
