run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,177.34
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_10,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,pairwise,122876329.0,186.91
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,pairwise,122876329.0,0.00
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,pairwise,122876329.0,0.00
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,pairwise,122876329.0,0.00
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,pairwise,122876329.0,0.00
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,pairwise,122876329.0,0.00
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,pairwise,122876329.0,0.00
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,pairwise,122876329.0,0.00
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,pairwise,122876329.0,0.00
tune_10,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,pairwise,122876329.0,0.00
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,components,2.0,183.10
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,components,2.0,0.00
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,components,2.0,0.00
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,components,2.0,0.00
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,components,2.0,0.00
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,components,2.0,0.00
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,components,2.0,0.00
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,components,2.0,0.00
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,components,2.0,0.00
tune_10,Testing/network-cor-forma_eu_27t.txt,0.05,0.0,0.0,50,3,0.8,0.01,components,2.0,0.00
tune_1,Testing/network-cor-forma_eu_27t.txt,1.0,0.0,0.0,50,3,0.8,0.01,largest,15677.0,181.04
tune_2,Testing/network-cor-forma_eu_27t.txt,1.0,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_3,Testing/network-cor-forma_eu_27t.txt,1.0,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_4,Testing/network-cor-forma_eu_27t.txt,1.0,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_5,Testing/network-cor-forma_eu_27t.txt,1.0,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_6,Testing/network-cor-forma_eu_27t.txt,1.0,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
tune_7,Testing/network-cor-forma_eu_27t.txt,1.0,0.0,0.0,50,3,0.8,0.01,largest,15677.0,0.00
