Parameter Tuning Summary
=======================

Total runs: 2560
Successful runs: 2560
Failed runs: 0

Average fitness by parameter combination:
--------------------------------------------------
Budget=0.25, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=3.40 (n=40)
Budget=0.15, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=3.42 (n=40)
Budget=0.15, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=3.45 (n=40)
Budget=0.25, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=3.45 (n=40)
Budget=1.0, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=3.45 (n=40)
Budget=1.0, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=3.45 (n=40)
Budget=1.0, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=3.45 (n=40)
Budget=0.15, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=3.48 (n=40)
Budget=0.2, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=3.48 (n=40)
Budget=1.0, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=3.48 (n=40)
Budget=0.15, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=3.50 (n=40)
Budget=0.2, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=3.50 (n=40)
Budget=0.25, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=3.50 (n=40)
Budget=1.0, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=3.50 (n=40)
Budget=0.2, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=3.52 (n=40)
Budget=0.25, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=3.52 (n=40)
Budget=0.25, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=3.52 (n=40)
Budget=0.15, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=3.55 (n=40)
Budget=0.2, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=3.55 (n=40)
Budget=0.25, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=3.55 (n=40)
Budget=0.15, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=3.58 (n=40)
Budget=0.15, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=3.58 (n=40)
Budget=0.2, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=3.58 (n=40)
Budget=0.2, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=3.58 (n=40)
Budget=0.25, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=3.58 (n=40)
Budget=1.0, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=3.58 (n=40)
Budget=1.0, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=3.58 (n=40)
Budget=0.2, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=3.60 (n=40)
Budget=0.25, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=3.60 (n=40)
Budget=1.0, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=3.60 (n=40)
Budget=0.15, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=3.62 (n=40)
Budget=0.2, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=3.62 (n=40)
Budget=0.15, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=3.75 (n=40)
Budget=0.25, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=3.75 (n=40)
Budget=0.2, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=3.77 (n=40)
