run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds
tune_1,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,2.98
tune_2,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,2.97
tune_3,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,2.98
tune_4,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,2.97
tune_5,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,2.97
tune_6,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,2.96
tune_7,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,2.96
tune_8,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,2.99
tune_9,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,2.96
tune_10,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,2.98
tune_1,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,8.0,1.29
tune_2,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,9.0,1.26
tune_3,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,9.0,1.27
tune_4,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,7.0,1.27
tune_5,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,8.0,1.27
tune_6,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,8.0,1.26
tune_7,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,8.0,1.27
tune_8,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,8.0,1.30
tune_9,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,7.0,1.27
tune_10,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,8.0,1.30
tune_1,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,3.0,1.11
tune_2,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,3.0,1.11
tune_3,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,3.0,1.10
tune_4,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,3.0,1.09
tune_5,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,3.0,1.08
tune_6,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,3.0,1.10
tune_7,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,2.0,1.11
tune_8,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,2.0,1.14
tune_9,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,3.0,1.07
tune_10,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,3.0,1.09
tune_1,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,1.09
tune_2,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,1.08
tune_3,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,1.08
tune_4,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,1.09
tune_5,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,1.09
tune_6,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,1.12
