Parameter Tuning Summary
=======================

Total runs: 1920
Successful runs: 1920
Failed runs: 0

Average fitness by parameter combination:
--------------------------------------------------
Budget=0.08, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=3.10 (n=40)
Budget=0.03, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=3.15 (n=40)
Budget=0.03, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=3.15 (n=40)
Budget=0.03, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=3.20 (n=40)
Budget=0.03, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=3.20 (n=40)
Budget=0.03, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=3.20 (n=40)
Budget=0.03, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=3.23 (n=40)
Budget=0.08, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=3.23 (n=40)
Budget=0.03, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=3.25 (n=40)
Budget=0.08, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=3.25 (n=40)
Budget=0.03, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=3.27 (n=40)
Budget=0.05, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=3.27 (n=40)
Budget=0.08, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=3.27 (n=40)
Budget=0.05, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=3.30 (n=40)
Budget=0.05, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=3.30 (n=40)
Budget=0.08, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=3.30 (n=40)
Budget=0.05, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=3.33 (n=40)
Budget=0.05, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=3.33 (n=40)
Budget=0.05, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=3.33 (n=40)
Budget=0.03, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=3.35 (n=40)
Budget=0.05, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=3.38 (n=40)
Budget=0.08, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=3.38 (n=40)
Budget=0.03, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=3.40 (n=40)
Budget=0.08, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=3.40 (n=40)
Budget=0.08, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=3.42 (n=40)
Budget=0.03, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=3.45 (n=40)
Budget=0.03, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=3.45 (n=40)
Budget=0.03, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=3.45 (n=40)
Budget=0.05, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=3.45 (n=40)
Budget=0.03, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=3.48 (n=40)
Budget=0.03, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=3.48 (n=40)
Budget=0.03, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=3.50 (n=40)
Budget=0.05, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=3.50 (n=40)
Budget=0.05, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=3.52 (n=40)
Budget=0.08, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=3.58 (n=40)
Budget=0.05, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=3.60 (n=40)
Budget=0.05, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=3.62 (n=40)
Budget=0.05, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=3.62 (n=40)
Budget=0.08, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=3.62 (n=40)
Budget=0.08, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=3.62 (n=40)
Budget=0.08, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=3.65 (n=40)
Budget=0.08, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=3.67 (n=40)
Budget=0.08, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=3.67 (n=40)
Budget=0.05, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=3.70 (n=40)
Budget=0.08, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=3.70 (n=40)
Budget=0.05, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=3.73 (n=40)
Budget=0.05, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=3.73 (n=40)
Budget=0.08, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=3.73 (n=40)
