input_file,run_id,payoff_function,nodes,edges,k_nodes,k_edges,weight_budget,min_val,runtime_seconds,status,output_file
cor_adjnoun-w.txt,greedy_B005_pairwise_001,pairwise,112,425,5,12,0.05,4005.0,49.51,OK,outputs\reruns\greedy\greedy_B005_pairwise_001_cor_adjnoun-w.txt
cor_dolphins-w.txt,greedy_B005_pairwise_004,pairwise,62,159,3,4,0.05,1225.0,1.33,OK,outputs\reruns\greedy\greedy_B005_pairwise_004_cor_dolphins-w.txt
cor_football-w.txt,greedy_B005_pairwise_005,pairwise,115,613,5,18,0.05,5995.0,267.07,OK,outputs\reruns\greedy\greedy_B005_pairwise_005_cor_football-w.txt
cor_karate-w.txt,greedy_B005_pairwise_007,pairwise,34,78,1,2,0.05,310.0,0.68,OK,outputs\reruns\greedy\greedy_B005_pairwise_007_cor_karate-w.txt
cor_lesmis-w.txt,greedy_B005_pairwise_008,pairwise,77,254,3,7,0.05,912.0,4.80,OK,outputs\reruns\greedy\greedy_B005_pairwise_008_cor_lesmis-w.txt
cor_n050plai01.txt,greedy_B005_pairwise_009,pairwise,50,137,2,4,0.05,1081.0,1.05,OK,outputs\reruns\greedy\greedy_B005_pairwise_009_cor_n050plai01.txt
cor_n100plai01.txt,greedy_B005_pairwise_010,pairwise,100,285,5,8,0.05,4371.0,14.23,OK,outputs\reruns\greedy\greedy_B005_pairwise_010_cor_n100plai01.txt
cor_n150plai01.txt,greedy_B005_pairwise_011,pairwise,150,435,7,13,0.05,9870.0,114.97,OK,outputs\reruns\greedy\greedy_B005_pairwise_011_cor_n150plai01.txt
cor_n200plai01.txt,greedy_B005_pairwise_012,pairwise,200,577,10,17,0.05,17391.0,493.38,OK,outputs\reruns\greedy\greedy_B005_pairwise_012_cor_n200plai01.txt
cor_n250plai01.txt,greedy_B005_pairwise_013,pairwise,250,716,12,21,0.05,25651.0,1384.37,OK,outputs\reruns\greedy\greedy_B005_pairwise_013_cor_n250plai01.txt
cor_n300plai01.txt,greedy_B005_pairwise_014,pairwise,300,868,15,26,0.05,37950.0,3929.19,OK,outputs\reruns\greedy\greedy_B005_pairwise_014_cor_n300plai01.txt
cor_n350plai01.txt,greedy_B005_pairwise_015,pairwise,350,991,17,29,0.05,47895.0,7298.24,OK,outputs\reruns\greedy\greedy_B005_pairwise_015_cor_n350plai01.txt
cor_polbooks-w.txt,greedy_B005_pairwise_016,pairwise,105,441,5,13,0.05,4656.0,72.24,OK,outputs\reruns\greedy\greedy_B005_pairwise_016_cor_polbooks-w.txt
hos_20_r1_1.txt,greedy_B005_pairwise_017,pairwise,20,19,1,0,0.05,81.0,0.61,OK,outputs\reruns\greedy\greedy_B005_pairwise_017_hos_20_r1_1.txt
hos_20_r2_1.txt,greedy_B005_pairwise_018,pairwise,20,38,1,1,0.05,153.0,0.63,OK,outputs\reruns\greedy\greedy_B005_pairwise_018_hos_20_r2_1.txt
hos_25_r1_1.txt,greedy_B005_pairwise_019,pairwise,25,30,1,0,0.05,148.0,0.62,OK,outputs\reruns\greedy\greedy_B005_pairwise_019_hos_25_r1_1.txt
hos_25_r2_1.txt,greedy_B005_pairwise_020,pairwise,25,60,1,1,0.05,276.0,0.67,OK,outputs\reruns\greedy\greedy_B005_pairwise_020_hos_25_r2_1.txt
