Parameter Tuning Summary
=======================

Total runs: 2560
Successful runs: 2560
Failed runs: 0

Average fitness by parameter combination:
--------------------------------------------------
Budget=1.0, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=60.17 (n=40)
Budget=0.15, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=60.25 (n=40)
Budget=1.0, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=60.27 (n=40)
Budget=1.0, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=60.30 (n=40)
Budget=0.25, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=60.33 (n=40)
Budget=1.0, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=60.33 (n=40)
Budget=0.2, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=60.38 (n=40)
Budget=0.2, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=60.40 (n=40)
Budget=0.25, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=60.40 (n=40)
Budget=1.0, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=60.42 (n=40)
Budget=0.15, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=60.45 (n=40)
Budget=0.15, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=60.45 (n=40)
Budget=0.2, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=60.45 (n=40)
Budget=0.2, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=60.45 (n=40)
Budget=1.0, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=60.45 (n=40)
Budget=0.15, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=60.48 (n=40)
Budget=0.15, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=60.48 (n=40)
Budget=0.2, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=60.48 (n=40)
Budget=0.25, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=60.48 (n=40)
Budget=0.25, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=60.48 (n=40)
Budget=1.0, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=60.48 (n=40)
Budget=0.2, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=60.50 (n=40)
