Parameter Tuning Summary
=======================

Total runs: 1920
Successful runs: 1920
Failed runs: 0

Average fitness by parameter combination:
--------------------------------------------------
Budget=0.05, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=60.52 (n=40)
Budget=0.08, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=60.62 (n=40)
Budget=0.05, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=60.65 (n=40)
Budget=0.08, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=60.65 (n=40)
Budget=0.08, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=60.65 (n=40)
Budget=0.05, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=60.67 (n=40)
Budget=0.05, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=60.67 (n=40)
Budget=0.05, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=60.70 (n=40)
Budget=0.08, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=60.70 (n=40)
Budget=0.05, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=60.73 (n=40)
Budget=0.08, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=60.73 (n=40)
Budget=0.05, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=60.75 (n=40)
Budget=0.05, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=60.77 (n=40)
Budget=0.08, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=60.77 (n=40)
Budget=0.08, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=60.80 (n=40)
Budget=0.03, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=60.88 (n=40)
Budget=0.03, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=60.88 (n=40)
Budget=0.08, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=60.88 (n=40)
Budget=0.03, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=60.92 (n=40)
Budget=0.08, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=60.92 (n=40)
Budget=0.03, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=60.95 (n=40)
Budget=0.03, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=60.95 (n=40)
Budget=0.03, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=60.95 (n=40)
Budget=0.03, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=60.95 (n=40)
Budget=0.08, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=60.95 (n=40)
Budget=0.08, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=60.95 (n=40)
Budget=0.03, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=60.98 (n=40)
Budget=0.05, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=60.98 (n=40)
Budget=0.08, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=60.98 (n=40)
Budget=0.05, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=61.00 (n=40)
Budget=0.08, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=61.00 (n=40)
Budget=0.05, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=61.02 (n=40)
Budget=0.05, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=61.05 (n=40)
Budget=0.08, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=61.05 (n=40)
Budget=0.08, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=61.05 (n=40)
Budget=0.03, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=61.08 (n=40)
Budget=0.05, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=61.08 (n=40)
Budget=0.03, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=61.10 (n=40)
Budget=0.03, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=61.12 (n=40)
Budget=0.05, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=61.12 (n=40)
Budget=0.05, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=61.15 (n=40)
Budget=0.08, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=61.15 (n=40)
Budget=0.05, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=61.17 (n=40)
Budget=0.03, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=61.23 (n=40)
Budget=0.03, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=61.25 (n=40)
Budget=0.03, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=61.25 (n=40)
Budget=0.03, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=61.25 (n=40)
Budget=0.03, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=61.33 (n=40)
