run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds,generation_number,fitness_value_1,fitness_value_2,fitness_value_3,fitness_value_4,fitness_value_5,fitness_value_6,fitness_value_7,fitness_value_8,fitness_value_9,fitness_value_10,fitness_value_11,fitness_value_12,fitness_value_13,fitness_value_14,fitness_value_15,fitness_value_16,fitness_value_17,fitness_value_18,fitness_value_19,fitness_value_20,fitness_value_21,fitness_value_22,fitness_value_23,fitness_value_24,fitness_value_25,fitness_value_26,fitness_value_27,fitness_value_28,fitness_value_29,fitness_value_30,fitness_value_31,fitness_value_32,fitness_value_33,fitness_value_34,fitness_value_35,fitness_value_36,fitness_value_37,fitness_value_38,fitness_value_39,fitness_value_40,fitness_value_41,fitness_value_42,fitness_value_43,fitness_value_44,fitness_value_45,fitness_value_46,fitness_value_47,fitness_value_48,fitness_value_49,fitness_value_50,fitness_value_51,fitness_value_52,fitness_value_53,fitness_value_54,fitness_value_55,fitness_value_56,fitness_value_57,fitness_value_58,fitness_value_59,fitness_value_60,fitness_value_61,fitness_value_62,fitness_value_63,fitness_value_64,fitness_value_65,fitness_value_66,fitness_value_67,fitness_value_68,fitness_value_69,fitness_value_70,fitness_value_71,fitness_value_72,fitness_value_73,fitness_value_74,fitness_value_75,fitness_value_76,fitness_value_77,fitness_value_78,fitness_value_79,fitness_value_80,fitness_value_81,fitness_value_82,fitness_value_83,fitness_value_84,fitness_value_85,fitness_value_86,fitness_value_87,fitness_value_88,fitness_value_89,fitness_value_90,fitness_value_91,fitness_value_92,fitness_value_93,fitness_value_94,fitness_value_95,fitness_value_96,fitness_value_97,fitness_value_98,fitness_value_99,fitness_value_100,fitness_value_101,fitness_value_102,fitness_value_103,fitness_value_104,fitness_value_105,fitness_value_106,fitness_value_107,fitness_value_108,fitness_value_109,fitness_value_110,fitness_value_111,fitness_value_112,fitness_value_113,fitness_value_114,fitness_value_115,fitness_value_116,fitness_value_117,fitness_value_118,fitness_value_119,fitness_value_120,fitness_value_121,fitness_value_122,fitness_value_123,fitness_value_124,fitness_value_125,fitness_value_126,fitness_value_127,fitness_value_128,fitness_value_129,fitness_value_130,fitness_value_131,fitness_value_132,fitness_value_133,fitness_value_134,fitness_value_135,fitness_value_136,fitness_value_137,fitness_value_138,fitness_value_139,fitness_value_140,fitness_value_141,fitness_value_142,fitness_value_143,fitness_value_144,fitness_value_145,fitness_value_146,fitness_value_147,fitness_value_148,fitness_value_149,fitness_value_150,fitness_value_151,fitness_value_152,fitness_value_153,fitness_value_154,fitness_value_155,fitness_value_156,fitness_value_157,fitness_value_158,fitness_value_159,fitness_value_160,fitness_value_161,fitness_value_162,fitness_value_163,fitness_value_164,fitness_value_165,fitness_value_166,fitness_value_167,fitness_value_168,fitness_value_169,fitness_value_170,fitness_value_171,fitness_value_172,fitness_value_173,fitness_value_174,fitness_value_175,fitness_value_176,fitness_value_177,fitness_value_178,fitness_value_179,fitness_value_180,fitness_value_181,fitness_value_182,fitness_value_183,fitness_value_184,fitness_value_185,fitness_value_186,fitness_value_187,fitness_value_188,fitness_value_189,fitness_value_190,fitness_value_191,fitness_value_192,fitness_value_193,fitness_value_194,fitness_value_195,fitness_value_196,fitness_value_197,fitness_value_198,fitness_value_199,fitness_value_200
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,5331.0,651.79,175,9684.0,9628.0,9575.0,9153.0,7980.0,7980.0,7980.0,7980.0,7980.0,7222.0,6665.0,6665.0,6665.0,6326.0,6326.0,6326.0,6210.0,6107.0,5961.0,5961.0,5956.0,5882.0,5882.0,5818.0,5724.0,5724.0,5724.0,5702.0,5688.0,5661.0,5655.0,5655.0,5611.0,5594.0,5591.0,5569.0,5549.0,5549.0,5549.0,5549.0,5522.0,5519.0,5515.0,5515.0,5508.0,5484.0,5484.0,5484.0,5484.0,5477.0,5470.0,5470.0,5458.0,5456.0,5456.0,5455.0,5455.0,5454.0,5442.0,5442.0,5442.0,5435.0,5435.0,5435.0,5435.0,5431.0,5431.0,5430.0,5423.0,5423.0,5422.0,5422.0,5421.0,5417.0,5416.0,5411.0,5407.0,5407.0,5407.0,5399.0,5399.0,5399.0,5399.0,5397.0,5397.0,5397.0,5397.0,5393.0,5393.0,5386.0,5386.0,5386.0,5386.0,5385.0,5385.0,5380.0,5380.0,5376.0,5376.0,5376.0,5376.0,5370.0,5370.0,5370.0,5370.0,5370.0,5370.0,5368.0,5368.0,5368.0,5368.0,5365.0,5365.0,5365.0,5362.0,5362.0,5358.0,5358.0,5358.0,5358.0,5358.0,5358.0,5358.0,5356.0,5356.0,5355.0,5351.0,5351.0,5351.0,5351.0,5351.0,5351.0,5350.0,5350.0,5350.0,5349.0,5349.0,5347.0,5347.0,5347.0,5345.0,5345.0,5345.0,5342.0,5342.0,5342.0,5342.0,5342.0,5342.0,5342.0,5342.0,5342.0,5342.0,5339.0,5339.0,5339.0,5339.0,5338.0,5338.0,5338.0,5338.0,5335.0,5335.0,5335.0,5335.0,5335.0,5334.0,5334.0,5334.0,5334.0,5333.0,5333.0,5332.0,5332.0,5332.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0,5331.0
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,4026.0,657.48,142,10080.0,8868.0,8868.0,8383.0,8383.0,7555.0,6716.0,6716.0,6087.0,5856.0,5601.0,5485.0,5380.0,5380.0,5226.0,5082.0,4793.0,4793.0,4793.0,4793.0,4789.0,4605.0,4569.0,4469.0,4469.0,4424.0,4406.0,4339.0,4339.0,4284.0,4284.0,4234.0,4232.0,4232.0,4209.0,4198.0,4195.0,4195.0,4183.0,4182.0,4170.0,4170.0,4165.0,4162.0,4156.0,4155.0,4152.0,4152.0,4144.0,4138.0,4137.0,4135.0,4134.0,4127.0,4126.0,4123.0,4121.0,4121.0,4119.0,4111.0,4111.0,4111.0,4111.0,4109.0,4106.0,4106.0,4100.0,4099.0,4095.0,4095.0,4093.0,4093.0,4093.0,4093.0,4092.0,4089.0,4088.0,4087.0,4086.0,4086.0,4083.0,4081.0,4078.0,4078.0,4078.0,4077.0,4076.0,4072.0,4068.0,4068.0,4065.0,4065.0,4063.0,4062.0,4062.0,4062.0,4062.0,4056.0,4056.0,4055.0,4055.0,4055.0,4055.0,4052.0,4046.0,4046.0,4046.0,4046.0,4046.0,4044.0,4044.0,4044.0,4042.0,4042.0,4042.0,4041.0,4039.0,4039.0,4039.0,4038.0,4038.0,4036.0,4034.0,4034.0,4034.0,4034.0,4031.0,4031.0,4031.0,4031.0,4030.0,4030.0,4029.0,4029.0,4029.0,4029.0,4029.0,4028.0,4028.0,4028.0,4027.0,4027.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0,4026.0
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,6964.0,666.23,194,11882.0,11697.0,9207.0,9207.0,9207.0,8856.0,8856.0,8611.0,8539.0,8376.0,8376.0,8061.0,7934.0,7890.0,7709.0,7709.0,7686.0,7573.0,7573.0,7515.0,7445.0,7432.0,7398.0,7382.0,7382.0,7365.0,7343.0,7297.0,7297.0,7263.0,7263.0,7225.0,7225.0,7218.0,7205.0,7201.0,7198.0,7180.0,7180.0,7174.0,7174.0,7145.0,7145.0,7145.0,7140.0,7140.0,7137.0,7137.0,7127.0,7113.0,7113.0,7113.0,7113.0,7104.0,7104.0,7101.0,7100.0,7095.0,7095.0,7089.0,7085.0,7085.0,7080.0,7080.0,7080.0,7078.0,7076.0,7067.0,7067.0,7067.0,7061.0,7061.0,7059.0,7059.0,7051.0,7051.0,7051.0,7051.0,7047.0,7041.0,7039.0,7039.0,7039.0,7039.0,7035.0,7035.0,7033.0,7033.0,7031.0,7030.0,7027.0,7027.0,7027.0,7025.0,7022.0,7022.0,7021.0,7021.0,7021.0,7018.0,7018.0,7018.0,7018.0,7018.0,7015.0,7008.0,7008.0,7008.0,7008.0,7008.0,7008.0,7008.0,7008.0,7008.0,7008.0,7004.0,7004.0,7004.0,7004.0,7004.0,7002.0,7002.0,7002.0,7001.0,6998.0,6997.0,6997.0,6997.0,6997.0,6997.0,6997.0,6997.0,6996.0,6993.0,6992.0,6991.0,6990.0,6990.0,6990.0,6989.0,6989.0,6989.0,6988.0,6988.0,6988.0,6985.0,6985.0,6985.0,6985.0,6982.0,6982.0,6982.0,6982.0,6982.0,6982.0,6982.0,6978.0,6978.0,6977.0,6977.0,6977.0,6977.0,6977.0,6976.0,6975.0,6974.0,6974.0,6972.0,6972.0,6972.0,6972.0,6972.0,6972.0,6971.0,6971.0,6971.0,6971.0,6971.0,6971.0,6968.0,6968.0,6968.0,6968.0,6968.0,6968.0,6968.0,6968.0,6965.0,6965.0,6965.0,6965.0,6965.0,6965.0,6965.0,6964.0,6964.0,6964.0,6964.0,6964.0,6964.0
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,4095.0,654.60,148,12016.0,12005.0,9966.0,9453.0,9453.0,8405.0,7426.0,7426.0,5969.0,5969.0,5791.0,5232.0,4919.0,4919.0,4846.0,4681.0,4681.0,4681.0,4628.0,4595.0,4595.0,4558.0,4513.0,4431.0,4390.0,4390.0,4362.0,4356.0,4283.0,4283.0,4283.0,4281.0,4263.0,4263.0,4245.0,4245.0,4242.0,4242.0,4242.0,4232.0,4230.0,4230.0,4229.0,4225.0,4222.0,4215.0,4208.0,4208.0,4207.0,4207.0,4199.0,4199.0,4194.0,4194.0,4192.0,4180.0,4180.0,4180.0,4180.0,4176.0,4175.0,4170.0,4170.0,4166.0,4166.0,4164.0,4164.0,4157.0,4157.0,4157.0,4157.0,4152.0,4152.0,4151.0,4140.0,4140.0,4140.0,4140.0,4140.0,4140.0,4137.0,4134.0,4134.0,4132.0,4132.0,4132.0,4131.0,4130.0,4130.0,4130.0,4130.0,4130.0,4126.0,4126.0,4126.0,4126.0,4126.0,4126.0,4126.0,4121.0,4121.0,4120.0,4120.0,4120.0,4116.0,4116.0,4116.0,4116.0,4116.0,4113.0,4113.0,4113.0,4113.0,4113.0,4112.0,4112.0,4109.0,4109.0,4109.0,4109.0,4107.0,4107.0,4107.0,4107.0,4107.0,4107.0,4106.0,4105.0,4105.0,4104.0,4104.0,4103.0,4103.0,4103.0,4100.0,4100.0,4100.0,4100.0,4100.0,4100.0,4100.0,4100.0,4099.0,4099.0,4099.0,4098.0,4098.0,4098.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,7216.0,702.84,196,12071.0,11982.0,9801.0,9645.0,9450.0,9223.0,8944.0,8944.0,8663.0,8663.0,8473.0,8473.0,8473.0,8340.0,8301.0,8153.0,8084.0,8002.0,7989.0,7888.0,7888.0,7888.0,7867.0,7759.0,7723.0,7703.0,7703.0,7703.0,7676.0,7636.0,7634.0,7613.0,7577.0,7563.0,7543.0,7535.0,7528.0,7528.0,7493.0,7489.0,7486.0,7481.0,7470.0,7466.0,7441.0,7441.0,7437.0,7437.0,7424.0,7415.0,7397.0,7396.0,7396.0,7384.0,7382.0,7372.0,7371.0,7368.0,7368.0,7356.0,7354.0,7346.0,7346.0,7345.0,7345.0,7339.0,7339.0,7334.0,7329.0,7329.0,7321.0,7321.0,7321.0,7314.0,7314.0,7314.0,7307.0,7307.0,7307.0,7307.0,7306.0,7300.0,7300.0,7296.0,7293.0,7293.0,7293.0,7289.0,7289.0,7289.0,7285.0,7285.0,7285.0,7285.0,7285.0,7283.0,7283.0,7279.0,7273.0,7273.0,7273.0,7273.0,7273.0,7273.0,7272.0,7272.0,7261.0,7261.0,7261.0,7261.0,7261.0,7261.0,7261.0,7256.0,7256.0,7256.0,7256.0,7254.0,7254.0,7251.0,7251.0,7251.0,7251.0,7250.0,7250.0,7250.0,7250.0,7249.0,7249.0,7249.0,7245.0,7244.0,7244.0,7244.0,7244.0,7244.0,7244.0,7244.0,7241.0,7241.0,7241.0,7241.0,7241.0,7240.0,7240.0,7239.0,7236.0,7236.0,7236.0,7236.0,7236.0,7236.0,7236.0,7236.0,7236.0,7236.0,7229.0,7229.0,7229.0,7229.0,7229.0,7229.0,7229.0,7229.0,7229.0,7229.0,7229.0,7224.0,7224.0,7224.0,7224.0,7224.0,7224.0,7224.0,7224.0,7224.0,7224.0,7224.0,7224.0,7224.0,7222.0,7222.0,7222.0,7222.0,7222.0,7222.0,7222.0,7219.0,7219.0,7218.0,7218.0,7218.0,7217.0,7217.0,7217.0,7217.0,7216.0,7216.0,7216.0,7216.0
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,7490.0,717.82,185,11921.0,9725.0,9268.0,9268.0,9219.0,9165.0,9070.0,8999.0,8879.0,8662.0,8497.0,8497.0,8473.0,8401.0,8238.0,8216.0,8214.0,8214.0,8126.0,8126.0,8057.0,7938.0,7936.0,7929.0,7874.0,7855.0,7838.0,7782.0,7779.0,7779.0,7757.0,7740.0,7740.0,7727.0,7703.0,7674.0,7674.0,7658.0,7658.0,7653.0,7653.0,7636.0,7636.0,7636.0,7634.0,7632.0,7627.0,7627.0,7626.0,7614.0,7608.0,7608.0,7608.0,7608.0,7608.0,7605.0,7599.0,7596.0,7596.0,7593.0,7593.0,7593.0,7592.0,7584.0,7576.0,7576.0,7569.0,7569.0,7568.0,7568.0,7563.0,7563.0,7560.0,7560.0,7560.0,7560.0,7556.0,7556.0,7556.0,7555.0,7554.0,7551.0,7551.0,7550.0,7550.0,7540.0,7540.0,7540.0,7540.0,7540.0,7540.0,7536.0,7536.0,7536.0,7534.0,7534.0,7534.0,7534.0,7533.0,7529.0,7529.0,7528.0,7528.0,7528.0,7527.0,7527.0,7522.0,7522.0,7522.0,7522.0,7519.0,7515.0,7515.0,7515.0,7515.0,7515.0,7515.0,7515.0,7515.0,7515.0,7515.0,7513.0,7513.0,7513.0,7513.0,7513.0,7513.0,7512.0,7511.0,7510.0,7510.0,7510.0,7508.0,7507.0,7507.0,7507.0,7507.0,7507.0,7506.0,7504.0,7504.0,7504.0,7504.0,7504.0,7504.0,7502.0,7502.0,7502.0,7502.0,7498.0,7498.0,7498.0,7498.0,7498.0,7498.0,7498.0,7497.0,7497.0,7497.0,7497.0,7497.0,7497.0,7495.0,7495.0,7495.0,7495.0,7494.0,7494.0,7493.0,7493.0,7493.0,7493.0,7493.0,7493.0,7492.0,7492.0,7492.0,7492.0,7492.0,7492.0,7491.0,7491.0,7491.0,7491.0,7491.0,7490.0,7490.0,7490.0,7490.0,7490.0,7490.0,7490.0,7490.0,7490.0,7490.0,7490.0,7490.0,7490.0,7490.0,7490.0
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,6553.0,726.26,183,11693.0,10019.0,9608.0,8971.0,8676.0,7849.0,7849.0,7849.0,7849.0,7762.0,7625.0,7603.0,7574.0,7451.0,7305.0,7180.0,7180.0,7180.0,7135.0,7086.0,7070.0,7060.0,7017.0,6999.0,6980.0,6978.0,6954.0,6937.0,6898.0,6869.0,6848.0,6845.0,6807.0,6779.0,6779.0,6759.0,6759.0,6742.0,6742.0,6724.0,6724.0,6723.0,6718.0,6706.0,6704.0,6694.0,6694.0,6689.0,6675.0,6675.0,6675.0,6675.0,6675.0,6675.0,6674.0,6672.0,6664.0,6661.0,6661.0,6661.0,6655.0,6655.0,6655.0,6654.0,6653.0,6649.0,6649.0,6648.0,6638.0,6638.0,6638.0,6638.0,6638.0,6638.0,6637.0,6635.0,6628.0,6628.0,6628.0,6628.0,6625.0,6625.0,6621.0,6621.0,6621.0,6621.0,6621.0,6618.0,6618.0,6618.0,6616.0,6616.0,6616.0,6613.0,6611.0,6608.0,6608.0,6608.0,6602.0,6602.0,6602.0,6602.0,6602.0,6600.0,6600.0,6600.0,6600.0,6597.0,6597.0,6597.0,6596.0,6589.0,6589.0,6589.0,6589.0,6589.0,6589.0,6588.0,6588.0,6588.0,6588.0,6588.0,6588.0,6578.0,6578.0,6578.0,6578.0,6578.0,6578.0,6578.0,6578.0,6578.0,6578.0,6578.0,6578.0,6578.0,6578.0,6576.0,6576.0,6576.0,6576.0,6576.0,6573.0,6573.0,6570.0,6570.0,6570.0,6570.0,6570.0,6570.0,6569.0,6569.0,6568.0,6568.0,6566.0,6566.0,6566.0,6562.0,6562.0,6562.0,6562.0,6562.0,6562.0,6562.0,6561.0,6560.0,6560.0,6560.0,6560.0,6560.0,6560.0,6557.0,6556.0,6556.0,6555.0,6555.0,6555.0,6555.0,6554.0,6554.0,6554.0,6554.0,6554.0,6553.0,6553.0,6553.0,6553.0,6553.0,6553.0,6553.0,6553.0,6553.0,6553.0,6553.0,6553.0,6553.0,6553.0,6553.0,6553.0,6553.0
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,5248.0,722.89,190,11849.0,11837.0,11693.0,8752.0,8752.0,7391.0,7391.0,7391.0,6831.0,6793.0,6793.0,6520.0,6406.0,6348.0,6331.0,6217.0,6215.0,6170.0,6139.0,5901.0,5901.0,5901.0,5834.0,5806.0,5806.0,5686.0,5665.0,5613.0,5613.0,5599.0,5564.0,5564.0,5524.0,5499.0,5499.0,5499.0,5474.0,5466.0,5466.0,5464.0,5441.0,5413.0,5413.0,5413.0,5413.0,5400.0,5400.0,5394.0,5391.0,5391.0,5382.0,5379.0,5379.0,5373.0,5373.0,5367.0,5360.0,5360.0,5360.0,5354.0,5354.0,5354.0,5351.0,5348.0,5348.0,5348.0,5347.0,5336.0,5335.0,5335.0,5334.0,5332.0,5332.0,5323.0,5323.0,5323.0,5321.0,5321.0,5318.0,5316.0,5314.0,5308.0,5308.0,5308.0,5308.0,5308.0,5308.0,5307.0,5305.0,5301.0,5301.0,5301.0,5301.0,5300.0,5297.0,5297.0,5297.0,5296.0,5294.0,5293.0,5293.0,5293.0,5293.0,5293.0,5292.0,5292.0,5287.0,5285.0,5285.0,5285.0,5285.0,5281.0,5281.0,5281.0,5281.0,5281.0,5281.0,5281.0,5281.0,5279.0,5279.0,5276.0,5276.0,5276.0,5272.0,5272.0,5272.0,5272.0,5272.0,5272.0,5272.0,5271.0,5270.0,5266.0,5266.0,5266.0,5266.0,5266.0,5266.0,5266.0,5264.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5262.0,5262.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5258.0,5258.0,5258.0,5258.0,5258.0,5258.0,5257.0,5257.0,5257.0,5257.0,5254.0,5254.0,5254.0,5253.0,5253.0,5253.0,5253.0,5253.0,5251.0,5251.0,5251.0,5251.0,5251.0,5250.0,5250.0,5250.0,5250.0,5250.0,5250.0,5250.0,5249.0,5249.0,5249.0,5249.0,5248.0,5248.0,5248.0,5248.0,5248.0,5248.0,5248.0,5248.0,5248.0,5248.0
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,4911.0,708.14,164,11930.0,11832.0,11556.0,11545.0,8581.0,7804.0,7254.0,7254.0,7099.0,7086.0,7055.0,7026.0,6735.0,6483.0,6177.0,5941.0,5941.0,5941.0,5928.0,5928.0,5726.0,5613.0,5613.0,5540.0,5495.0,5412.0,5359.0,5335.0,5311.0,5286.0,5223.0,5186.0,5186.0,5186.0,5149.0,5146.0,5114.0,5108.0,5103.0,5089.0,5087.0,5083.0,5075.0,5064.0,5063.0,5051.0,5044.0,5042.0,5036.0,5036.0,5030.0,5030.0,5030.0,5028.0,5020.0,5020.0,5018.0,5015.0,5009.0,5000.0,5000.0,5000.0,5000.0,4997.0,4996.0,4995.0,4992.0,4988.0,4988.0,4987.0,4986.0,4983.0,4983.0,4980.0,4980.0,4980.0,4980.0,4980.0,4976.0,4970.0,4970.0,4967.0,4964.0,4964.0,4964.0,4964.0,4963.0,4954.0,4954.0,4948.0,4948.0,4948.0,4948.0,4948.0,4948.0,4948.0,4948.0,4939.0,4939.0,4939.0,4939.0,4939.0,4939.0,4939.0,4936.0,4936.0,4936.0,4932.0,4932.0,4932.0,4932.0,4932.0,4932.0,4932.0,4929.0,4929.0,4929.0,4929.0,4929.0,4929.0,4929.0,4927.0,4927.0,4927.0,4927.0,4925.0,4925.0,4925.0,4923.0,4923.0,4923.0,4921.0,4921.0,4921.0,4921.0,4921.0,4921.0,4921.0,4921.0,4921.0,4921.0,4921.0,4920.0,4918.0,4918.0,4918.0,4918.0,4918.0,4918.0,4918.0,4918.0,4917.0,4915.0,4915.0,4914.0,4914.0,4914.0,4914.0,4914.0,4914.0,4913.0,4913.0,4913.0,4912.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0,4911.0
tune_10,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,5534.0,718.76,185,11991.0,9754.0,9609.0,8785.0,8785.0,8464.0,7666.0,7564.0,7564.0,7564.0,7240.0,6715.0,6539.0,6505.0,6324.0,6324.0,6324.0,6229.0,6221.0,6148.0,6082.0,6033.0,6031.0,6006.0,5964.0,5957.0,5909.0,5858.0,5841.0,5823.0,5793.0,5793.0,5793.0,5783.0,5759.0,5759.0,5759.0,5743.0,5743.0,5732.0,5728.0,5724.0,5717.0,5713.0,5713.0,5708.0,5707.0,5702.0,5687.0,5687.0,5685.0,5681.0,5675.0,5673.0,5671.0,5660.0,5659.0,5659.0,5659.0,5656.0,5656.0,5651.0,5646.0,5639.0,5639.0,5639.0,5639.0,5637.0,5626.0,5626.0,5626.0,5626.0,5626.0,5621.0,5617.0,5617.0,5617.0,5617.0,5617.0,5611.0,5611.0,5611.0,5611.0,5607.0,5607.0,5607.0,5607.0,5607.0,5607.0,5594.0,5594.0,5588.0,5588.0,5588.0,5588.0,5588.0,5583.0,5583.0,5583.0,5583.0,5583.0,5582.0,5580.0,5580.0,5580.0,5577.0,5577.0,5577.0,5574.0,5574.0,5574.0,5574.0,5572.0,5572.0,5572.0,5572.0,5568.0,5568.0,5566.0,5566.0,5565.0,5565.0,5565.0,5565.0,5565.0,5563.0,5563.0,5563.0,5563.0,5560.0,5559.0,5559.0,5559.0,5559.0,5559.0,5557.0,5557.0,5557.0,5557.0,5557.0,5554.0,5554.0,5554.0,5554.0,5552.0,5552.0,5552.0,5552.0,5551.0,5551.0,5551.0,5551.0,5551.0,5551.0,5551.0,5548.0,5547.0,5547.0,5544.0,5543.0,5543.0,5543.0,5543.0,5542.0,5542.0,5542.0,5542.0,5541.0,5540.0,5540.0,5539.0,5539.0,5539.0,5539.0,5539.0,5539.0,5538.0,5536.0,5536.0,5536.0,5536.0,5536.0,5535.0,5535.0,5535.0,5534.0,5534.0,5534.0,5534.0,5534.0,5534.0,5534.0,5534.0,5534.0,5534.0,5534.0,5534.0,5534.0,5534.0,5534.0
