run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds,generation_number,fitness_value_1,fitness_value_2,fitness_value_3,fitness_value_4,fitness_value_5,fitness_value_6,fitness_value_7,fitness_value_8,fitness_value_9,fitness_value_10,fitness_value_11,fitness_value_12,fitness_value_13,fitness_value_14,fitness_value_15,fitness_value_16,fitness_value_17,fitness_value_18,fitness_value_19,fitness_value_20,fitness_value_21,fitness_value_22,fitness_value_23,fitness_value_24,fitness_value_25,fitness_value_26,fitness_value_27,fitness_value_28,fitness_value_29,fitness_value_30,fitness_value_31,fitness_value_32,fitness_value_33,fitness_value_34,fitness_value_35,fitness_value_36,fitness_value_37,fitness_value_38,fitness_value_39,fitness_value_40,fitness_value_41,fitness_value_42,fitness_value_43,fitness_value_44,fitness_value_45,fitness_value_46,fitness_value_47,fitness_value_48,fitness_value_49,fitness_value_50,fitness_value_51,fitness_value_52,fitness_value_53,fitness_value_54,fitness_value_55,fitness_value_56,fitness_value_57,fitness_value_58,fitness_value_59,fitness_value_60,fitness_value_61,fitness_value_62,fitness_value_63,fitness_value_64,fitness_value_65,fitness_value_66,fitness_value_67,fitness_value_68,fitness_value_69,fitness_value_70,fitness_value_71,fitness_value_72,fitness_value_73,fitness_value_74,fitness_value_75,fitness_value_76,fitness_value_77,fitness_value_78,fitness_value_79,fitness_value_80,fitness_value_81,fitness_value_82,fitness_value_83,fitness_value_84,fitness_value_85,fitness_value_86,fitness_value_87,fitness_value_88,fitness_value_89,fitness_value_90,fitness_value_91,fitness_value_92,fitness_value_93,fitness_value_94,fitness_value_95,fitness_value_96,fitness_value_97,fitness_value_98,fitness_value_99,fitness_value_100,fitness_value_101,fitness_value_102,fitness_value_103,fitness_value_104,fitness_value_105,fitness_value_106,fitness_value_107,fitness_value_108,fitness_value_109,fitness_value_110,fitness_value_111,fitness_value_112,fitness_value_113,fitness_value_114,fitness_value_115,fitness_value_116,fitness_value_117,fitness_value_118,fitness_value_119,fitness_value_120,fitness_value_121,fitness_value_122,fitness_value_123,fitness_value_124,fitness_value_125,fitness_value_126,fitness_value_127,fitness_value_128,fitness_value_129,fitness_value_130,fitness_value_131,fitness_value_132,fitness_value_133,fitness_value_134,fitness_value_135,fitness_value_136,fitness_value_137,fitness_value_138,fitness_value_139,fitness_value_140,fitness_value_141,fitness_value_142,fitness_value_143,fitness_value_144,fitness_value_145,fitness_value_146,fitness_value_147,fitness_value_148,fitness_value_149,fitness_value_150,fitness_value_151,fitness_value_152,fitness_value_153,fitness_value_154,fitness_value_155,fitness_value_156,fitness_value_157,fitness_value_158,fitness_value_159,fitness_value_160,fitness_value_161,fitness_value_162,fitness_value_163,fitness_value_164,fitness_value_165,fitness_value_166,fitness_value_167,fitness_value_168,fitness_value_169,fitness_value_170,fitness_value_171,fitness_value_172,fitness_value_173,fitness_value_174,fitness_value_175,fitness_value_176,fitness_value_177,fitness_value_178,fitness_value_179,fitness_value_180,fitness_value_181,fitness_value_182,fitness_value_183,fitness_value_184,fitness_value_185,fitness_value_186,fitness_value_187,fitness_value_188,fitness_value_189,fitness_value_190,fitness_value_191,fitness_value_192,fitness_value_193,fitness_value_194,fitness_value_195,fitness_value_196,fitness_value_197,fitness_value_198,fitness_value_199,fitness_value_200
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,8013.0,325.26,107,10112.0,10112.0,10071.0,10033.0,9663.0,9573.0,9573.0,9464.0,9361.0,9004.0,9004.0,9004.0,9004.0,8937.0,8840.0,8774.0,8774.0,8645.0,8645.0,8645.0,8532.0,8532.0,8438.0,8438.0,8408.0,8384.0,8379.0,8339.0,8292.0,8287.0,8256.0,8256.0,8246.0,8246.0,8235.0,8211.0,8199.0,8193.0,8189.0,8154.0,8154.0,8151.0,8147.0,8144.0,8135.0,8131.0,8126.0,8122.0,8120.0,8116.0,8111.0,8106.0,8102.0,8100.0,8098.0,8089.0,8089.0,8089.0,8086.0,8083.0,8082.0,8076.0,8071.0,8071.0,8069.0,8062.0,8062.0,8062.0,8058.0,8056.0,8056.0,8052.0,8051.0,8051.0,8050.0,8048.0,8038.0,8038.0,8038.0,8038.0,8035.0,8035.0,8035.0,8035.0,8033.0,8031.0,8026.0,8026.0,8026.0,8026.0,8026.0,8024.0,8023.0,8022.0,8022.0,8021.0,8021.0,8018.0,8016.0,8016.0,8016.0,8016.0,8016.0,8015.0,8015.0,8014.0,8014.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,4790.0,328.95,97,12241.0,9722.0,9722.0,9442.0,8350.0,8350.0,7176.0,7176.0,6554.0,6419.0,6395.0,6117.0,5805.0,5805.0,5805.0,5805.0,5704.0,5589.0,5525.0,5423.0,5423.0,5354.0,5246.0,5145.0,5133.0,5133.0,5058.0,5058.0,5046.0,5021.0,4988.0,4988.0,4977.0,4969.0,4955.0,4944.0,4940.0,4915.0,4912.0,4907.0,4902.0,4901.0,4901.0,4886.0,4886.0,4886.0,4875.0,4875.0,4873.0,4873.0,4867.0,4863.0,4862.0,4860.0,4857.0,4850.0,4850.0,4847.0,4844.0,4843.0,4840.0,4839.0,4837.0,4831.0,4829.0,4829.0,4827.0,4822.0,4821.0,4818.0,4818.0,4816.0,4816.0,4815.0,4813.0,4813.0,4808.0,4807.0,4807.0,4807.0,4804.0,4801.0,4801.0,4800.0,4798.0,4797.0,4797.0,4796.0,4795.0,4795.0,4793.0,4793.0,4792.0,4792.0,4791.0,4791.0,4791.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0,4790.0
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,4942.0,338.97,105,10090.0,9671.0,9568.0,9188.0,8208.0,8208.0,8208.0,6546.0,6546.0,6459.0,6459.0,6088.0,5995.0,5995.0,5938.0,5780.0,5780.0,5650.0,5650.0,5543.0,5543.0,5533.0,5490.0,5361.0,5361.0,5297.0,5297.0,5297.0,5213.0,5213.0,5189.0,5115.0,5115.0,5112.0,5095.0,5095.0,5089.0,5080.0,5080.0,5075.0,5075.0,5069.0,5061.0,5061.0,5059.0,5055.0,5050.0,5049.0,5044.0,5043.0,5039.0,5037.0,5033.0,5027.0,5026.0,5019.0,5018.0,5017.0,5013.0,5007.0,5003.0,5003.0,5000.0,4997.0,4995.0,4993.0,4990.0,4988.0,4988.0,4985.0,4982.0,4981.0,4980.0,4979.0,4976.0,4973.0,4973.0,4972.0,4969.0,4965.0,4965.0,4964.0,4964.0,4961.0,4961.0,4957.0,4957.0,4956.0,4956.0,4952.0,4952.0,4951.0,4949.0,4949.0,4949.0,4947.0,4946.0,4946.0,4946.0,4945.0,4945.0,4944.0,4944.0,4943.0,4943.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0,4942.0
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,6256.0,377.42,124,12093.0,10151.0,9901.0,8624.0,8624.0,8346.0,8089.0,8089.0,7840.0,7553.0,7478.0,7461.0,7245.0,7131.0,7131.0,7036.0,7006.0,6941.0,6933.0,6849.0,6849.0,6831.0,6792.0,6774.0,6710.0,6651.0,6649.0,6601.0,6546.0,6546.0,6512.0,6512.0,6493.0,6475.0,6467.0,6463.0,6441.0,6437.0,6436.0,6423.0,6413.0,6413.0,6413.0,6404.0,6404.0,6392.0,6392.0,6383.0,6382.0,6377.0,6376.0,6373.0,6373.0,6369.0,6368.0,6358.0,6358.0,6358.0,6356.0,6352.0,6352.0,6348.0,6346.0,6345.0,6339.0,6338.0,6334.0,6330.0,6330.0,6324.0,6324.0,6323.0,6321.0,6318.0,6318.0,6316.0,6313.0,6310.0,6310.0,6309.0,6307.0,6304.0,6304.0,6303.0,6302.0,6297.0,6297.0,6295.0,6295.0,6290.0,6289.0,6288.0,6286.0,6285.0,6285.0,6283.0,6281.0,6280.0,6276.0,6276.0,6276.0,6275.0,6272.0,6271.0,6271.0,6270.0,6270.0,6268.0,6268.0,6268.0,6267.0,6266.0,6264.0,6264.0,6262.0,6261.0,6261.0,6260.0,6260.0,6259.0,6258.0,6258.0,6258.0,6257.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0,6256.0
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,7808.0,411.36,102,12113.0,9911.0,9881.0,9706.0,9264.0,9264.0,9264.0,9197.0,9122.0,9045.0,8992.0,8976.0,8904.0,8743.0,8743.0,8670.0,8645.0,8521.0,8513.0,8462.0,8366.0,8356.0,8278.0,8257.0,8200.0,8193.0,8129.0,8129.0,8129.0,8121.0,8061.0,8025.0,8010.0,8003.0,8003.0,7997.0,7967.0,7967.0,7964.0,7951.0,7943.0,7939.0,7936.0,7933.0,7914.0,7913.0,7913.0,7898.0,7898.0,7898.0,7892.0,7887.0,7883.0,7880.0,7880.0,7880.0,7874.0,7872.0,7870.0,7867.0,7865.0,7863.0,7861.0,7858.0,7854.0,7854.0,7850.0,7849.0,7847.0,7846.0,7845.0,7844.0,7839.0,7839.0,7838.0,7836.0,7835.0,7833.0,7831.0,7829.0,7828.0,7826.0,7823.0,7823.0,7821.0,7821.0,7820.0,7819.0,7818.0,7817.0,7815.0,7815.0,7814.0,7814.0,7812.0,7812.0,7811.0,7810.0,7810.0,7809.0,7809.0,7809.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,5934.0,432.85,104,12318.0,12229.0,12182.0,9992.0,8814.0,8671.0,8660.0,8151.0,8151.0,8151.0,8151.0,8135.0,7742.0,6639.0,6619.0,6617.0,6506.0,6434.0,6382.0,6372.0,6353.0,6305.0,6291.0,6200.0,6191.0,6175.0,6175.0,6175.0,6128.0,6128.0,6122.0,6102.0,6102.0,6100.0,6093.0,6087.0,6083.0,6077.0,6076.0,6066.0,6063.0,6055.0,6052.0,6052.0,6047.0,6044.0,6038.0,6036.0,6036.0,6032.0,6026.0,6024.0,6023.0,6021.0,6014.0,6009.0,6009.0,6007.0,6003.0,5999.0,5995.0,5995.0,5995.0,5987.0,5987.0,5987.0,5985.0,5984.0,5983.0,5977.0,5969.0,5969.0,5969.0,5969.0,5968.0,5965.0,5964.0,5961.0,5960.0,5956.0,5956.0,5955.0,5954.0,5954.0,5952.0,5951.0,5949.0,5947.0,5947.0,5947.0,5946.0,5945.0,5942.0,5942.0,5940.0,5940.0,5938.0,5938.0,5937.0,5937.0,5936.0,5935.0,5935.0,5935.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0,5934.0
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,6205.0,444.34,114,12034.0,12034.0,10248.0,8821.0,8648.0,8392.0,8369.0,8239.0,7915.0,7621.0,7372.0,6990.0,6990.0,6964.0,6918.0,6868.0,6837.0,6775.0,6775.0,6727.0,6708.0,6623.0,6623.0,6591.0,6591.0,6564.0,6541.0,6511.0,6472.0,6457.0,6451.0,6408.0,6408.0,6408.0,6405.0,6397.0,6376.0,6376.0,6357.0,6357.0,6357.0,6344.0,6337.0,6337.0,6331.0,6320.0,6316.0,6307.0,6307.0,6307.0,6307.0,6303.0,6302.0,6300.0,6297.0,6293.0,6290.0,6286.0,6284.0,6283.0,6283.0,6277.0,6276.0,6276.0,6273.0,6271.0,6266.0,6264.0,6261.0,6261.0,6260.0,6257.0,6256.0,6252.0,6251.0,6251.0,6248.0,6247.0,6246.0,6240.0,6240.0,6240.0,6238.0,6237.0,6235.0,6231.0,6231.0,6230.0,6229.0,6227.0,6225.0,6225.0,6225.0,6223.0,6223.0,6222.0,6220.0,6220.0,6218.0,6217.0,6217.0,6214.0,6213.0,6213.0,6211.0,6211.0,6210.0,6210.0,6209.0,6209.0,6208.0,6207.0,6206.0,6206.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0,6205.0
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,8508.0,342.17,105,12167.0,12167.0,10299.0,10067.0,9796.0,9796.0,9726.0,9726.0,9723.0,9558.0,9490.0,9490.0,9432.0,9361.0,9334.0,9259.0,9231.0,9148.0,9148.0,9085.0,9002.0,8936.0,8936.0,8920.0,8843.0,8843.0,8810.0,8785.0,8774.0,8774.0,8746.0,8734.0,8734.0,8696.0,8696.0,8673.0,8661.0,8661.0,8661.0,8648.0,8648.0,8643.0,8643.0,8632.0,8629.0,8622.0,8622.0,8621.0,8616.0,8614.0,8610.0,8607.0,8603.0,8602.0,8596.0,8593.0,8590.0,8586.0,8580.0,8578.0,8576.0,8576.0,8575.0,8568.0,8565.0,8565.0,8562.0,8561.0,8557.0,8556.0,8551.0,8551.0,8550.0,8548.0,8547.0,8545.0,8543.0,8542.0,8538.0,8537.0,8536.0,8535.0,8532.0,8532.0,8530.0,8529.0,8527.0,8525.0,8525.0,8524.0,8521.0,8520.0,8520.0,8520.0,8519.0,8517.0,8516.0,8516.0,8515.0,8513.0,8510.0,8510.0,8510.0,8509.0,8509.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0,8508.0
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,5260.0,335.30,107,12157.0,12075.0,11815.0,10031.0,10031.0,8207.0,8207.0,7369.0,7195.0,6212.0,5988.0,5988.0,5968.0,5968.0,5755.0,5755.0,5755.0,5635.0,5635.0,5571.0,5571.0,5522.0,5522.0,5510.0,5495.0,5464.0,5454.0,5427.0,5427.0,5416.0,5410.0,5410.0,5410.0,5395.0,5395.0,5390.0,5390.0,5390.0,5382.0,5382.0,5377.0,5377.0,5374.0,5367.0,5367.0,5366.0,5362.0,5360.0,5356.0,5351.0,5351.0,5348.0,5347.0,5338.0,5331.0,5331.0,5331.0,5331.0,5325.0,5325.0,5324.0,5322.0,5319.0,5316.0,5311.0,5311.0,5311.0,5309.0,5306.0,5303.0,5300.0,5299.0,5296.0,5296.0,5294.0,5292.0,5290.0,5287.0,5287.0,5284.0,5284.0,5283.0,5279.0,5278.0,5278.0,5278.0,5277.0,5275.0,5273.0,5272.0,5272.0,5270.0,5269.0,5268.0,5267.0,5267.0,5266.0,5266.0,5264.0,5264.0,5264.0,5263.0,5262.0,5262.0,5262.0,5261.0,5261.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0
tune_10,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,9913.0,338.94,97,12174.0,12158.0,12064.0,11802.0,11802.0,11745.0,11612.0,11612.0,11214.0,11157.0,11157.0,11011.0,10952.0,10777.0,10727.0,10538.0,10538.0,10516.0,10400.0,10400.0,10366.0,10366.0,10349.0,10293.0,10221.0,10221.0,10221.0,10217.0,10174.0,10150.0,10137.0,10137.0,10124.0,10105.0,10098.0,10098.0,10089.0,10048.0,10048.0,10048.0,10048.0,10046.0,10046.0,10045.0,10037.0,10031.0,10024.0,10024.0,10008.0,10008.0,10007.0,9999.0,9998.0,9993.0,9991.0,9987.0,9986.0,9981.0,9978.0,9968.0,9964.0,9964.0,9964.0,9957.0,9957.0,9957.0,9951.0,9951.0,9948.0,9946.0,9939.0,9939.0,9939.0,9939.0,9938.0,9934.0,9934.0,9933.0,9932.0,9929.0,9926.0,9926.0,9926.0,9924.0,9923.0,9923.0,9923.0,9921.0,9919.0,9916.0,9916.0,9916.0,9915.0,9915.0,9915.0,9914.0,9914.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0,9913.0
