run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,5331.0,651.79
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,4026.0,657.48
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,6964.0,666.23
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,4095.0,654.60
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,7216.0,702.84
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,7490.0,717.82
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,6553.0,726.26
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,5248.0,722.89
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,4911.0,708.14
tune_10,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,5534.0,718.76
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,16072958.0,716.09
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,11442559.0,721.34
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,46406654.0,726.73
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,18435318.0,719.37
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,9866545.0,719.34
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,12605674.0,721.79
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,24125075.0,714.79
