run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,largest,15279.0,608.60
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,largest,15286.0,530.46
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,largest,15279.0,538.46
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,largest,15283.0,530.78
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,largest,15280.0,590.45
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,largest,15302.0,479.53
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,largest,15272.0,496.87
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,largest,15276.0,479.83
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,largest,15247.0,488.22
tune_10,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,largest,15310.0,481.20
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,pairwise,117083388.0,473.92
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,pairwise,117374325.0,482.70
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,pairwise,117466258.0,489.98
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,pairwise,116472094.0,527.90
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,pairwise,117650271.0,489.32
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,pairwise,116563710.0,511.92
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,pairwise,116304311.0,527.07
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,pairwise,116563712.0,498.45
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,pairwise,116746995.0,534.62
tune_10,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,pairwise,116853969.0,529.00
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,components,272.0,478.69
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,components,269.0,481.91
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,components,267.0,481.81
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,components,279.0,537.59
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,components,269.0,523.09
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,components,282.0,541.36
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,components,300.0,511.66
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,components,272.0,493.29
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,components,305.0,511.44
tune_10,Testing/network-cor-forma_eu_27t.txt,0.05,0,0.03,50,3,0.8,0.01,components,287.0,528.14
tune_1,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,largest,15299.0,498.28
tune_2,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,largest,15294.0,508.17
tune_3,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,largest,15267.0,498.51
tune_4,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,largest,15287.0,485.10
tune_5,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,largest,15311.0,475.83
tune_6,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,largest,15294.0,484.23
tune_7,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,largest,15323.0,510.22
tune_8,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,largest,15286.0,510.61
tune_9,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,largest,15290.0,513.79
tune_10,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,largest,15302.0,510.66
tune_1,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,pairwise,116899832.0,496.71
tune_2,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,pairwise,116624796.0,511.22
tune_3,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,pairwise,116746993.0,523.82
tune_4,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,pairwise,116884548.0,495.87
tune_5,Testing/network-cor-forma_eu_27t.txt,1.0,0,0.03,50,3,0.8,0.01,pairwise,116884552.0,475.69
