Parameter Tuning Summary
=======================

Total runs: 2560
Successful runs: 2560
Failed runs: 0

Average fitness by parameter combination:
--------------------------------------------------
Budget=0.15, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=2986.43 (n=40)
Budget=0.25, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=2991.53 (n=40)
Budget=0.15, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=2992.55 (n=40)
Budget=0.25, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=2993.85 (n=40)
Budget=0.2, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=2995.72 (n=40)
Budget=0.25, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=2996.88 (n=40)
Budget=0.15, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=2996.95 (n=40)
Budget=0.25, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=2997.50 (n=40)
Budget=0.2, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=2998.03 (n=40)
Budget=0.2, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=2998.10 (n=40)
Budget=0.25, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=2999.32 (n=40)
Budget=0.2, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=2999.88 (n=40)
Budget=0.15, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=3000.22 (n=40)
Budget=0.2, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=3000.45 (n=40)
Budget=1.0, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=3000.50 (n=40)
Budget=0.15, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=3000.60 (n=40)
Budget=1.0, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=3001.07 (n=40)
Budget=0.15, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=3001.18 (n=40)
Budget=0.15, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=3001.90 (n=40)
Budget=0.25, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=3002.15 (n=40)
Budget=0.2, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=3002.40 (n=40)
Budget=0.2, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=3002.45 (n=40)
Budget=0.25, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=3003.07 (n=40)
Budget=0.15, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=3003.30 (n=40)
Budget=1.0, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=3003.68 (n=40)
Budget=0.25, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=3004.15 (n=40)
Budget=1.0, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=3004.30 (n=40)
