Parameter Tuning Summary
=======================

Total runs: 1920
Successful runs: 1920
Failed runs: 0

Average fitness by parameter combination:
--------------------------------------------------
Budget=0.08, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=3000.95 (n=40)
Budget=0.05, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=3001.47 (n=40)
Budget=0.05, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=3001.55 (n=40)
Budget=0.08, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=3001.93 (n=40)
Budget=0.08, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=3002.70 (n=40)
Budget=0.05, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=3003.78 (n=40)
Budget=0.08, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=3005.72 (n=40)
Budget=0.08, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=3005.85 (n=40)
Budget=0.08, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=3006.30 (n=40)
Budget=0.05, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=3006.50 (n=40)
Budget=0.05, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=3006.95 (n=40)
Budget=0.05, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=3007.03 (n=40)
Budget=0.08, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=3007.57 (n=40)
Budget=0.08, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=3008.80 (n=40)
Budget=0.05, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=3010.03 (n=40)
Budget=0.05, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=3011.35 (n=40)
Budget=0.05, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=3012.80 (n=40)
Budget=0.08, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=3014.20 (n=40)
Budget=0.03, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=3014.40 (n=40)
Budget=0.05, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=3014.68 (n=40)
Budget=0.03, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=3015.03 (n=40)
Budget=0.03, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=3015.68 (n=40)
Budget=0.03, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=3016.30 (n=40)
Budget=0.03, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=3017.60 (n=40)
Budget=0.03, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=3018.18 (n=40)
Budget=0.03, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=3018.22 (n=40)
Budget=0.03, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=3018.25 (n=40)
Budget=0.03, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=3018.25 (n=40)
Budget=0.08, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=3018.60 (n=40)
Budget=0.08, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=3019.25 (n=40)
Budget=0.08, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=3020.03 (n=40)
Budget=0.08, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=3020.28 (n=40)
Budget=0.05, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=3020.30 (n=40)
Budget=0.05, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=3020.47 (n=40)
Budget=0.03, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=3020.97 (n=40)
Budget=0.08, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=3021.12 (n=40)
Budget=0.05, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=3021.47 (n=40)
Budget=0.03, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=3021.55 (n=40)
Budget=0.03, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=3021.57 (n=40)
Budget=0.05, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=3022.43 (n=40)
Budget=0.03, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=3022.70 (n=40)
Budget=0.05, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=3023.47 (n=40)
Budget=0.05, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=3023.72 (n=40)
Budget=0.08, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=3024.28 (n=40)
Budget=0.03, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=3025.43 (n=40)
Budget=0.08, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=3025.88 (n=40)
Budget=0.03, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=3028.47 (n=40)
Budget=0.03, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=3030.03 (n=40)
