run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds
tune_1,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,8.01
tune_2,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,8.32
tune_3,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,8.16
tune_4,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,8.16
tune_5,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,8.09
tune_6,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,8.12
tune_7,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,8.10
tune_8,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,8.00
tune_9,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,8.10
tune_10,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,8.50
tune_1,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,8.0,3.12
tune_2,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,8.0,2.86
tune_3,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,7.0,2.84
tune_4,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,8.0,2.76
tune_5,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,7.0,2.76
tune_6,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,9.0,2.76
tune_7,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,8.0,2.75
tune_8,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,8.0,2.77
tune_9,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,9.0,2.78
tune_10,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,7.0,2.78
tune_1,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,3.0,2.17
tune_2,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,3.0,2.19
tune_3,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,2.0,2.15
