run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds
tune_1,Testing/cor_adjnoun-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,112.0,1.47
tune_2,Testing/cor_adjnoun-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,112.0,0.00
tune_3,Testing/cor_adjnoun-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,112.0,0.00
tune_4,Testing/cor_adjnoun-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,112.0,0.00
tune_5,Testing/cor_adjnoun-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,112.0,0.00
tune_6,Testing/cor_adjnoun-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,112.0,0.00
tune_7,Testing/cor_adjnoun-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,112.0,0.00
tune_8,Testing/cor_adjnoun-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,112.0,0.00
tune_9,Testing/cor_adjnoun-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,112.0,0.00
tune_10,Testing/cor_adjnoun-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,112.0,0.00
tune_1,Testing/cor_celegans_metabolic-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,453.0,3.26
tune_2,Testing/cor_celegans_metabolic-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,453.0,0.00
tune_3,Testing/cor_celegans_metabolic-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,453.0,0.00
tune_4,Testing/cor_celegans_metabolic-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,453.0,0.00
tune_5,Testing/cor_celegans_metabolic-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,453.0,0.00
tune_6,Testing/cor_celegans_metabolic-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,453.0,0.00
tune_7,Testing/cor_celegans_metabolic-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,453.0,0.00
tune_8,Testing/cor_celegans_metabolic-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,453.0,0.00
tune_9,Testing/cor_celegans_metabolic-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,453.0,0.00
tune_10,Testing/cor_celegans_metabolic-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,453.0,0.00
tune_1,Testing/cor_celegansneural-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,297.0,3.22
tune_2,Testing/cor_celegansneural-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,297.0,0.00
tune_3,Testing/cor_celegansneural-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,297.0,0.00
tune_4,Testing/cor_celegansneural-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,297.0,0.00
tune_5,Testing/cor_celegansneural-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,297.0,0.00
tune_6,Testing/cor_celegansneural-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,297.0,0.00
tune_7,Testing/cor_celegansneural-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,297.0,0.00
tune_8,Testing/cor_celegansneural-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,297.0,0.00
tune_9,Testing/cor_celegansneural-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,297.0,0.00
tune_10,Testing/cor_celegansneural-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,297.0,0.00
tune_1,Testing/cor_dolphins-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,62.0,1.24
