run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds
tune_1,Testing/cor_adjnoun-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,95.0,1.62
tune_2,Testing/cor_adjnoun-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,95.0,1.64
tune_3,Testing/cor_adjnoun-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,95.0,1.68
tune_4,Testing/cor_adjnoun-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,96.0,1.62
tune_5,Testing/cor_adjnoun-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,96.0,1.63
tune_6,Testing/cor_adjnoun-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,94.0,1.64
tune_7,Testing/cor_adjnoun-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,94.0,1.60
tune_8,Testing/cor_adjnoun-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,96.0,1.65
tune_9,Testing/cor_adjnoun-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,97.0,1.67
tune_10,Testing/cor_adjnoun-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,96.0,1.68
tune_1,Testing/cor_celegans_metabolic-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,378.0,4.83
tune_2,Testing/cor_celegans_metabolic-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,381.0,4.79
tune_3,Testing/cor_celegans_metabolic-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,384.0,4.82
tune_4,Testing/cor_celegans_metabolic-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,391.0,4.82
tune_5,Testing/cor_celegans_metabolic-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,366.0,4.86
tune_6,Testing/cor_celegans_metabolic-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,380.0,4.78
tune_7,Testing/cor_celegans_metabolic-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,404.0,4.89
tune_8,Testing/cor_celegans_metabolic-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,392.0,4.77
tune_9,Testing/cor_celegans_metabolic-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,397.0,4.93
tune_10,Testing/cor_celegans_metabolic-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,379.0,4.83
tune_1,Testing/cor_celegansneural-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,267.0,4.90
tune_2,Testing/cor_celegansneural-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,267.0,4.91
tune_3,Testing/cor_celegansneural-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,265.0,4.88
tune_4,Testing/cor_celegansneural-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,267.0,4.99
tune_5,Testing/cor_celegansneural-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,266.0,5.01
tune_6,Testing/cor_celegansneural-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,270.0,4.98
tune_7,Testing/cor_celegansneural-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,267.0,4.92
