Running Summary
===============

Total runs: 19200
Successful runs: 19200
Failed runs: 0

Average fitness by parameter combination:
--------------------------------------------------
Budget=1.0, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=1006.19 (n=240)
Budget=0.5, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=1007.46 (n=240)
Budget=1.0, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=1008.48 (n=240)
Budget=1.0, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=1009.46 (n=240)
Budget=1.0, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=1009.79 (n=240)
Budget=0.5, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=1010.82 (n=240)
Budget=1.0, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=1011.17 (n=240)
Budget=0.5, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=1011.60 (n=240)
Budget=1.0, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=1013.08 (n=240)
Budget=0.5, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=1013.90 (n=240)
Budget=0.5, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=1013.98 (n=240)
Budget=0.15, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=1015.46 (n=240)
Budget=1.0, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=1015.81 (n=240)
Budget=0.25, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=1016.12 (n=240)
Budget=0.15, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=1016.19 (n=240)
Budget=0.5, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=1016.25 (n=240)
Budget=0.25, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=1016.64 (n=240)
Budget=0.5, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=1016.85 (n=240)
Budget=0.5, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=1016.94 (n=240)
Budget=1.0, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=1017.39 (n=240)
Budget=0.15, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=1017.60 (n=240)
Budget=0.15, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=1017.72 (n=240)
Budget=0.15, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=1017.97 (n=240)
Budget=0.15, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=1018.08 (n=240)
Budget=0.15, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=1018.34 (n=240)
Budget=0.25, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=1018.50 (n=240)
Budget=0.25, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=1018.92 (n=240)
Budget=0.25, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=1019.23 (n=240)
Budget=0.5, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=1019.89 (n=240)
Budget=1.0, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=1020.37 (n=240)
Budget=0.25, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=1020.45 (n=240)
Budget=0.05, Pop=100, Tour=3, Cross=0.8, Mut=0.02: Avg=1020.87 (n=240)
Budget=0.25, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=1021.08 (n=240)
Budget=0.25, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=1021.32 (n=240)
Budget=0.25, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=1021.35 (n=240)
Budget=0.15, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=1021.45 (n=240)
Budget=1.0, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=1021.47 (n=240)
Budget=0.25, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=1021.59 (n=240)
Budget=0.5, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=1021.71 (n=240)
Budget=1.0, Pop=100, Tour=5, Cross=0.8, Mut=0.02: Avg=1021.78 (n=240)
Budget=0.25, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=1022.07 (n=240)
Budget=0.05, Pop=100, Tour=3, Cross=0.9, Mut=0.01: Avg=1022.16 (n=240)
Budget=1.0, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=1022.23 (n=240)
Budget=0.15, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=1022.26 (n=240)
Budget=0.15, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=1022.33 (n=240)
Budget=0.25, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=1022.60 (n=240)
Budget=0.25, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=1022.67 (n=240)
Budget=0.25, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=1023.19 (n=240)
Budget=0.5, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=1023.21 (n=240)
Budget=0.15, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=1023.80 (n=240)
Budget=0.5, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=1024.13 (n=240)
Budget=0.25, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=1024.23 (n=240)
Budget=0.15, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=1024.70 (n=240)
Budget=0.15, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=1024.71 (n=240)
Budget=0.25, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=1024.90 (n=240)
Budget=0.15, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=1025.33 (n=240)
