run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,mutation_type,max_switch_pct,best_fitness,runtime_seconds,fitness_counter
tune_2,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,51.0,2.21,8177
tune_1,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,51.0,2.24,8003
tune_4,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,52.0,2.21,8214
tune_3,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,52.0,2.26,8121
tune_6,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,51.0,2.21,8218
tune_5,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,51.0,2.22,8080
tune_8,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,51.0,2.23,8234
tune_7,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,51.0,2.31,8160
tune_2,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,143.0,10.33,8006
tune_1,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,143.0,10.37,8121
tune_4,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,143.0,10.09,8095
tune_7,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,143.0,10.10,8038
tune_8,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,143.0,10.36,8170
tune_10,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,143.0,10.42,8124
tune_3,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,143.0,10.58,8088
tune_9,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,143.0,10.46,8166
tune_2,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,30.0,1.53,8108
tune_1,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,31.0,1.61,8168
tune_6,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,143.0,11.80,8122
tune_4,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,31.0,1.48,8069
tune_6,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,30.0,1.32,8007
tune_5,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,143.0,12.08,8180
tune_7,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,31.0,1.31,8102
tune_5,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,31.0,1.45,8131
tune_8,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,31.0,1.34,8137
tune_3,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,31.0,2.01,8257
tune_9,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,53.0,2.91,8212
tune_1,Tuning/mac_grafo20dens30.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,19.0,1.45,8142
tune_10,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,52.0,3.69,8156
tune_10,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,31.0,1.64,8104
tune_2,Tuning/mac_grafo20dens30.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,19.0,1.57,8165
tune_3,Tuning/mac_grafo20dens30.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,19.0,1.32,8214
tune_9,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,30.0,1.80,8122
tune_5,Tuning/mac_grafo20dens30.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,19.0,1.31,8147
tune_6,Tuning/mac_grafo20dens30.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,19.0,1.34,8254
tune_7,Tuning/mac_grafo20dens30.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,19.0,1.29,8230
tune_9,Tuning/mac_grafo20dens30.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,19.0,1.19,8124
tune_4,Tuning/mac_grafo20dens30.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,19.0,1.90,8122
tune_8,Tuning/mac_grafo20dens30.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,19.0,1.67,8145
tune_10,Tuning/mac_grafo20dens30.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,0,50,19.0,1.64,8184
tune_1,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,52.0,2.42,8085
tune_2,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,52.0,2.11,8173
tune_3,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,52.0,2.27,8189
tune_4,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,51.0,2.17,8202
tune_5,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,51.0,2.41,8255
tune_6,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,51.0,2.15,8107
tune_2,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,143.0,10.41,8168
tune_1,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,143.0,10.55,8081
tune_8,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,143.0,10.20,7982
tune_4,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,143.0,10.74,8167
tune_3,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,143.0,10.93,8136
tune_7,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,143.0,10.51,7997
tune_7,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,52.0,2.41,8222
tune_5,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,143.0,11.03,8110
tune_10,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,143.0,10.23,8146
tune_8,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,51.0,2.42,8138
tune_6,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,143.0,11.22,8193
tune_9,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,143.0,10.61,8099
tune_1,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,30.0,1.68,8149
tune_2,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,31.0,1.66,8102
tune_5,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,31.0,1.51,8234
tune_4,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,31.0,1.63,8136
tune_3,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,31.0,1.71,8041
tune_6,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,30.0,1.55,8086
tune_7,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,31.0,1.51,8140
tune_8,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,31.0,1.50,8143
tune_9,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,largest,1,50,31.0,1.42,8130
